obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 1127288, 1274706, 23602, 424891, 589779, 561913, 73952, 1964606, 26, 37, NA, 6040737,  X
2, 3.1, 9590, 357893, 344771, 97417, 75791, 17938, 65167, 678708, 86, 24, NA, 1647275,  X
3, 4.1, 216685, 10294, 277185, 3823421, 16292, 1255, 39715, 480586, 25, 64, NA, 4865433,  X
4, 5.1, 229, 35926, 468599, 55, 16980, 1103706, 19630, 915103, 64, 54, NA, 2560228,  X
5, 6.1, 30775, 231649, 1146199, 279232, 544118, 390, 66952, 43571, 77, 85, NA, 2342886,  X
6, 7.1, 399553, 942, 169549, 575729, 975483, 2567634, 698199, 639127, 37, 83, NA, 6026216,  X
7, 8.1, 32028, 5, 546803, 4999, 17379, 561327, 330775, 94867, 27, 88, NA, 1588183,  X
8, 9.1, 116611, 42426, 116135, 1338079, 391145, 269209, 1045, 1950, 29, 80, NA, 2276600,  X
9, 10.1, 50, 15375, 103476, 178836, 354976, 56068, 43917, 52635, 98, 9, NA, 805333,  X
10, 11.2, 25907, 51991, 202610, 192522, 263155, 404142, 18814, 7538, 37, 26, NA, 1166679,  X
11, 12.2, 435667, 1970, 46222, 72460, 333223, 297174, 96204, 456970, 12, 19, NA, 1739890,  X
12, 13.2, 25221, 249038, 31967, 7, 318124, 45635, 5903, 305582, 99, 19, NA, 981477,  X
13, 14.2, 310459, 363722, 125081, 181787, 130203, 77021, 418435, 336552, 37, 92, NA, 1943260,  X
14, 15.2, 187700, 1039574, 41807, 485984, 202999, 58476, 1044775, 561218, 58, 74, NA, 3622533,  X
15, 16.2, 134959, 1, 159869, 15442, 554, 173654, 1329992, 966101, 58, 83, NA, 2780572,  X
16, 17.2, 190258, 1655, 451577, 441020, 183715, 86523, 628, 266109, 74, 49, NA, 1621485,  X
17, 18.2, 707816, 314732, 42252, 44323, 3833, 116855, 50351, 354871, 82, 53, NA, 1635033,  X
18, 19.2, 16838, 19803, 325979, 1231, 86259, 953567, 1190, 215167, 56, 95, NA, 1620034,  X
19, 20.2, 842922, 384318, 6320, 32498, 80, 9685, 154173, 232561, 65, 59, NA, 1662557,  X
20, 21.3, 12793, 1363271, 30432, 619108, 791253, 1502175, 130848, 45943, 19, 55, NA, 4495823,  X
21, 22.3, 2603274, 27391, 642288, 144504, 1250532, 20818, 286780, 18358, 67, 41, NA, 4993945,  X
22, 23.3, 17817, 6288, 47944, 26076, 72093, 234635, 4228, 522687, 74, 90, NA, 931768,  X
23, 24.3, 356347, 11921, 208845, 1, 423824, 420251, 302825, 58420, 22, 77, NA, 1782434,  X
24, 25.3, 12184, 95283, 172706, 24073, 261171, 22183, 39856, 1212, 87, 24, NA, 628668,  X
25, 26.3, 140, 563732, 118842, 1047, 4, 692329, 640210, 153736, 72, 72, NA, 2170040,  X
26, 27.3, 1033461, 173842, 598, 153286, 406926, 158960, 15857, 6607, 99, 73, NA, 1949537,  X
27, 28.3, 497345, 69739, 853806, 279569, 109130, 238877, 861322, 192247, 91, 2, NA, 3102035,  X
28, 29.4, 337476, 56663, 12288, 491071, 132811, 1492136, 35658, 75649, 1, 49, NA, 2633752,  X
29, 30.4, 438797, 108338, 1335646, 972854, 30639, 968, 1162153, 7724, 75, 20, NA, 4057119,  X
30, 31.4, 33625, 8854, 282997, 343963, 56532, 83915, 45500, 942702, 1, 29, NA, 1798088,  X
31, 32.4, 429133, 18877, 75268, 67800, 470451, 73469, 588542, 26132, 71, 91, NA, 1749672,  X
32, 33.4, 1996759, 24160, 104456, 827068, 84520, 1673, 396819, 969342, 61, 59, NA, 4404797,  X
33, 34.4, 437564, 7028, 208192, 193683, 1625271, 1141, 276076, 20264, 21, 79, NA, 2769219,  X
34, 35.4, 16654, 54420, 1599, 882711, 19649, 25818, 37462, 184711, 52, 42, NA, 1223024,  X
35, 36.4, 12515, 21354, 168, 749658, 477728, 164789, 1571, 89138, 33, 76, NA, 1516921,  X
36, 37.4, 2665, 5054, 796550, 171498, 411976, 110059, 114, 41478, 35, 60, NA, 1539394,  X
37, 38.5, 8671, 13559, 426383, 169207, 969964, 125285, 817851, 926, 33, 51, NA, 2531846,  X
38, 39.5, 1541, 1, 689920, 246715, 180166, 679237, 344, 41833, 32, 31, NA, 1839757,  X
39, 40.5, 22188, 138170, 294943, 30723, 711, 22594, 731533, 271014, 99, 36, NA, 1511876,  X
40, 41.5, 241062, 120848, 124665, 515641, 160372, 80401, 495180, 2746, 71, 89, NA, 1740915,  X
41, 42.5, 170496, 1225, 429716, 28846, 490913, 1053336, 1656, 385676, 86, 23, NA, 2561864,  X
42, 43.5, 5824, 128044, 15584, 40320, 940534, 748742, 3858, 311921, 21, 67, NA, 2194827,  X
43, 44.5, 238862, 14349, 206418, 50619, 62294, 1070763, 21577, 729223, 79, 23, NA, 2394105,  X
44, 45.5, 152209, 234242, 7769, 34296, 527835, 215525, 516824, 88363, 64, 13, NA, 1777063,  X
45, 46.6, 4681, 656225, 272204, 15357, 572691, 568136, 23850, 648496, 13, 15, NA, 2761640,  X
46, 47.6, 40279, 8586, 336980, 193647, 5054, 69, 207787, 494019, 14, 31, NA, 1286421,  X
47, 48.6, 154973, 442247, 223763, 148640, 117179, 13850, 13190, 335215, 66, 60, NA, 1449057,  X
48, 49.6, 180346, 1405092, 37264, 12155, 44825, 613410, 29199, 197347, 19, 57, NA, 2519638,  X
49, 50.6, 10186, 410828, 36880, 77732, 8322, 3655, 7804, 23855, 91, 7, NA, 579262,  X
50, 51.6, 85209, 50241, 63985, 11654, 151899, 239156, 27785, 19149, 100, 70, NA, 649078,  X
51, 52.6, 350567, 1363, 2161803, 2375, 404508, 22468, 109899, 338672, 68, 74, NA, 3391655,  X
52, 53.6, 32060, 1210858, 410777, 1164202, 51819, 123268, 11944, 136204, 50, 80, NA, 3141132,  X
53, 54.6, 146124, 211243, 112411, 275345, 502645, 7009, 17903, 35316, 7, 88, NA, 1307996,  X
54, 55.7, 9600, 29252, 610040, 45046, 274542, 47605, 8754, 154558, 56, 95, NA, 1179397,  X
55, 56.7, 8, 480668, 936934, 212480, 92943, 51064, 303524, 4118, 70, 98, NA, 2081739,  X
56, 57.7, 1201681, 506728, 348387, 24221, 399128, 171774, 585812, 25216, 66, 57, NA, 3262947,  X
57, 58.7, 370973, 154442, 80350, 240, 144199, 369415, 81616, 96966, 61, 22, NA, 1298201,  X
58, 59.7, 163787, 1232, 60000, 68614, 604094, 1587553, 469814, 591944, 50, 86, NA, 3547038,  X
59, 60.7, 27401, 289939, 592, 213808, 1036, 343370, 76030, 10056, 87, 53, NA, 962232,  X
60, 61.7, 312406, 479695, 65634, 2418, 3, 348686, 354090, 3132, 18, 16, NA, 1566064,  X
61, 62.7, 263353, 2072, 305677, 295932, 74054, 29586, 227787, 5307, 84, 20, NA, 1203768,  X
