obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 113749, 2386794, 5041, 2728, 666283, 1889539, 53017, 6485, 99, 20, NA, 5123636,  X
2, 3.1, 696346, 65812, 111754, 81021, 273503, 327745, 20568, 514281, 5, 76, NA, 2091030,  X
3, 4.1, 23970, 26605, 706326, 158319, 34389, 974525, 12304, 1052013, 70, 33, NA, 2988451,  X
4, 5.1, 1608824, 10473, 2204, 734366, 383396, 1667, 2319, 255902, 5, 10, NA, 2999151,  X
5, 6.1, 106634, 5858, 346686, 466, 103021, 690768, 1326, 137561, 83, 30, NA, 1392320,  X
6, 7.1, 603, 1876581, 60, 3307, 17013, 272738, 214947, 151, 80, 11, NA, 2385400,  X
7, 8.1, 190873, 221744, 18463, 2415, 272016, 27212, 79628, 84, 27, 7, NA, 812435,  X
8, 9.1, 349093, 182795, 156095, 9923, 499294, 346718, 10153, 862287, 56, 25, NA, 2416358,  X
9, 10.1, 43, 588316, 499139, 1822, 49886, 654, 2426, 311805, 91, 88, NA, 1454091,  X
10, 11.2, 99415, 13189, 86702, 7791, 400350, 395733, 33855, 23979, 32, 28, NA, 1061014,  X
11, 12.2, 3677, 82283, 286547, 435871, 33114, 133761, 42838, 1469379, 90, 91, NA, 2487470,  X
12, 13.2, 577690, 56155, 45770, 266290, 165281, 206177, 9983, 729889, 28, 71, NA, 2057235,  X
13, 14.2, 521759, 372201, 856, 188519, 47697, 272405, 243982, 317636, 55, 8, NA, 1965055,  X
14, 15.2, 220316, 137, 1465646, 123451, 61726, 826072, 9507, 60401, 90, 69, NA, 2767256,  X
15, 16.2, 78568, 551753, 3451, 237580, 42961, 58740, 499748, 290252, 86, 90, NA, 1763053,  X
16, 17.2, 99472, 1149211, 74244, 458526, 115, 868795, 224391, 6997, 4, 25, NA, 2881751,  X
17, 18.2, 69369, 5047, 682809, 860858, 64480, 9090, 590777, 49182, 65, 2, NA, 2331612,  X
18, 19.3, 47354, 137664, 363569, 14980, 107156, 329905, 313183, 832596, 36, 24, NA, 2146407,  X
19, 20.3, 509473, 37795, 185246, 126, 418, 255558, 482828, 763033, 97, 48, NA, 2234477,  X
20, 21.3, 74809, 1501265, 497998, 37681, 19810, 475347, 29452, 7254, 54, 95, NA, 2643616,  X
21, 22.3, 288185, 242338, 30759, 121274, 2944, 300761, 373878, 42545, 57, 95, NA, 1402684,  X
22, 23.3, 698733, 241869, 22905, 40103, 1108132, 155828, 86092, 1384146, 29, 34, NA, 3737808,  X
23, 24.3, 22, 1126974, 1176, 545949, 168928, 322219, 6184, 11620, 24, 40, NA, 2183072,  X
24, 25.3, 608639, 241731, 36234, 12154, 125114, 324652, 85952, 231459, 77, 4, NA, 1665935,  X
25, 26.3, 1688, 70283, 381530, 438179, 3355392, 421315, 1473257, 278710, 97, 61, NA, 6420354,  X
26, 27.4, 113876, 292289, 91402, 146826, 655, 139516, 369969, 35073, 10, 21, NA, 1189606,  X
27, 28.4, 849390, 581833, 399799, 2044, 209976, 403456, 440, 55633, 34, 71, NA, 2502571,  X
28, 29.4, 4075, 168278, 592244, 176842, 50744, 81978, 441506, 75718, 47, 22, NA, 1591385,  X
29, 30.4, 169342, 336941, 1302266, 714959, 1689947, 240851, 199480, 219, 49, 24, NA, 4654005,  X
30, 31.4, 24939, 211822, 8592, 1993, 24334, 186787, 51805, 281395, 30, 93, NA, 791667,  X
31, 32.4, 1194598, 1267, 16436, 520301, 246722, 34691, 673596, 122575, 94, 43, NA, 2810186,  X
32, 33.4, 217403, 9511, 5604, 23207, 863264, 1738, 18172, 2058, 36, 75, NA, 1140957,  X
33, 34.4, 5664, 1172257, 1171, 454131, 94194, 7737, 660360, 171875, 17, 66, NA, 2567389,  X
34, 35.5, 251377, 101407, 2055426, 117025, 23483, 96460, 546581, 340400, 97, 46, NA, 3532159,  X
35, 36.5, 582646, 324805, 8401, 15574, 117942, 629040, 268773, 70279, 66, 25, NA, 2017460,  X
36, 37.5, 5468, 392018, 2880045, 186181, 546112, 273534, 184086, 615445, 82, 47, NA, 5082889,  X
37, 38.5, 456926, 885911, 63990, 32937, 297805, 203149, 14957, 38514, 40, 62, NA, 1994189,  X
38, 39.5, 71345, 5127, 22142, 32, 250812, 258862, 68513, 242218, 41, 42, NA, 919051,  X
39, 40.5, 1422513, 1109, 81082, 18228, 565448, 1394, 159725, 344679, 21, 30, NA, 2594178,  X
40, 41.5, 649, 610806, 210934, 580461, 2563, 768801, 103091, 898985, 99, 10, NA, 3176290,  X
41, 42.5, 557, 40354, 296197, 1368388, 468798, 315387, 75998, 86270, 56, 42, NA, 2651949,  X
42, 43.6, 1312069, 254081, 419751, 61627, 184954, 77653, 14245, 125069, 18, 70, NA, 2449449,  X
43, 44.6, 192890, 47945, 75907, 1143473, 311490, 329976, 15394, 1014138, 5, 73, NA, 3131213,  X
44, 45.6, 406148, 55511, 905723, 8005, 42803, 130810, 464680, 297111, 66, 72, NA, 2310791,  X
45, 46.6, 304556, 381596, 144366, 49302, 1045092, 162558, 1740947, 132269, 96, 46, NA, 3960686,  X
46, 47.6, 206647, 16367, 179399, 46238, 69266, 426945, 1252877, 19605, 10, 82, NA, 2217344,  X
47, 48.6, 903819, 41056, 266172, 2218, 505087, 4159, 146458, 24437, 85, 57, NA, 1893406,  X
48, 49.6, 33113, 437619, 14594, 310869, 93568, 1868, 197390, 280985, 21, 68, NA, 1370006,  X
49, 50.6, 496730, 79842, 1090230, 421076, 3179, 791581, 110180, 546375, 51, 45, NA, 3539193,  X
