obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 685735, 6927, 25706, 2523011, 462455, 18223, 65173, 32347, 51, 7, NA, 3819577,  X
2, 3.0, 83059, 213115, 69327, 3002, 408624, 82903, 39663, 1826, 20, 43, NA, 901519,  X
3, 4.1, 1044013, 39117, 365, 44655, 310391, 757436, 5297, 395698, 49, 58, NA, 2596972,  X
4, 5.1, 607, 219079, 168031, 590049, 78220, 616819, 105950, 13981, 79, 36, NA, 1792736,  X
5, 6.1, 844590, 168473, 118435, 52, 144981, 238306, 60985, 204478, 6, 72, NA, 1780300,  X
6, 7.1, 531014, 34789, 490202, 146787, 458259, 340325, 23131, 16595, 13, 26, NA, 2041102,  X
7, 8.1, 724106, 5109, 3397, 64166, 113576, 566064, 76885, 193022, 21, 64, NA, 1746325,  X
8, 9.1, 204709, 1594774, 209501, 555422, 75528, 6008, 47043, 513164, 52, 70, NA, 3206149,  X
9, 10.1, 59284, 838025, 87782, 1308115, 106559, 503, 517709, 104221, 27, 83, NA, 3022198,  X
10, 11.2, 718341, 1562964, 240369, 13723, 4529, 404501, 100294, 323111, 65, 47, NA, 3367832,  X
11, 12.2, 10953, 140490, 32898, 48305, 4115, 317613, 50804, 44723, 14, 19, NA, 649901,  X
12, 13.2, 230853, 242733, 643700, 135236, 556565, 58094, 1542232, 143180, 65, 80, NA, 3552593,  X
13, 14.2, 586624, 131, 226071, 957656, 90740, 211471, 1148, 142559, 73, 97, NA, 2216400,  X
14, 15.2, 12702, 1072500, 190648, 2581026, 2002, 7610, 1031044, 816266, 13, 83, NA, 5713798,  X
15, 16.2, 175421, 270867, 5, 589086, 69399, 4595, 879935, 1798874, 70, 38, NA, 3788182,  X
16, 17.2, 9797, 729, 283, 807712, 29858, 1343, 621902, 4731, 70, 10, NA, 1476355,  X
17, 18.2, 85969, 469412, 821914, 850065, 127274, 93727, 208376, 269672, 7, 10, NA, 2926409,  X
18, 19.3, 277366, 245839, 114176, 216296, 202945, 65539, 648031, 127551, 17, 61, NA, 1897743,  X
19, 20.3, 64, 21056, 838061, 121912, 489591, 7845, 1600874, 647383, 89, 64, NA, 3726786,  X
20, 21.3, 387798, 115984, 324, 135431, 342251, 7819, 1599194, 642710, 77, 7, NA, 3231511,  X
21, 22.3, 648, 52165, 458069, 443, 119, 1215, 61079, 5542, 49, 35, NA, 579280,  X
22, 23.3, 579205, 1061506, 21919, 47172, 75605, 38842, 511616, 493602, 54, 40, NA, 2829467,  X
23, 24.3, 29576, 37988, 2242, 259352, 15901, 7889, 130866, 768898, 59, 10, NA, 1252712,  X
24, 25.3, 1099249, 37788, 5681, 1985360, 263370, 151814, 1729, 465476, 68, 91, NA, 4010467,  X
25, 26.3, 203774, 27322, 106412, 91392, 20315, 36091, 12971, 223522, 24, 67, NA, 721799,  X
26, 27.4, 65930, 60138, 343210, 237679, 414274, 2307, 350719, 59115, 23, 74, NA, 1533372,  X
27, 28.4, 22525, 1871702, 155, 8278, 440995, 264446, 381590, 106449, 11, 32, NA, 3096140,  X
28, 29.4, 2206893, 166350, 338855, 302060, 569963, 605871, 40834, 369781, 99, 27, NA, 4600607,  X
29, 30.4, 10102, 62923, 613367, 121223, 4173, 64077, 119925, 184025, 32, 87, NA, 1179815,  X
30, 31.4, 775964, 267143, 1589589, 692405, 384277, 1840, 138256, 114, 73, 58, NA, 3849588,  X
31, 32.4, 120208, 1043576, 139912, 355468, 3374, 375, 19916, 30786, 60, 24, NA, 1713615,  X
32, 33.4, 141695, 6246, 2219, 180520, 941541, 814545, 394714, 516072, 1, 71, NA, 2997552,  X
33, 34.5, 69772, 21796, 599342, 174549, 2894, 275534, 748912, 35502, 71, 96, NA, 1928301,  X
34, 35.5, 151018, 55251, 579756, 125140, 2475, 397653, 202375, 2136, 68, 97, NA, 1515804,  X
35, 36.5, 166726, 302155, 120519, 1048004, 285468, 14, 111238, 4560, 57, 95, NA, 2038684,  X
36, 37.5, 924549, 777305, 9533, 11791, 28116, 78233, 1765156, 124862, 26, 14, NA, 3719545,  X
37, 38.5, 30071, 727353, 18941, 2784543, 67, 217392, 145465, 139432, 31, 94, NA, 4063264,  X
38, 39.5, 1520, 99035, 71642, 957127, 122, 70665, 66843, 144287, 90, 11, NA, 1411241,  X
39, 40.5, 2632, 83040, 100839, 657424, 626115, 190153, 61727, 287297, 42, 75, NA, 2009227,  X
40, 41.5, 155605, 92565, 209753, 215, 49368, 26808, 15548, 1021, 93, 79, NA, 550883,  X
41, 42.6, 648, 7781, 2453, 2914838, 111006, 92604, 321216, 25856, 33, 1, NA, 3476402,  X
42, 43.6, 407261, 14367, 3384107, 224803, 780563, 338018, 207704, 358377, 57, 42, NA, 5715200,  X
43, 44.6, 1637, 159064, 19787, 2913, 23856, 14250, 115240, 142187, 3, 14, NA, 478934,  X
44, 45.6, 805, 0, 74040, 145948, 87491, 869688, 204520, 934014, 97, 26, NA, 2316506,  X
45, 46.6, 266786, 14322, 935675, 494440, 38224, 12086, 132309, 947666, 74, 54, NA, 2841508,  X
46, 47.6, 9140, 189163, 85877, 57666, 812187, 311938, 236919, 17762, 93, 17, NA, 1720652,  X
47, 48.6, 31008, 14328, 96421, 43240, 104, 221346, 93726, 860145, 82, 99, NA, 1360318,  X
48, 49.6, 188, 2220527, 1233, 33486, 1900439, 117169, 120361, 26190, 14, 71, NA, 4419593,  X
49, 50.7, 32127, 310123, 86, 4240, 5563, 5313, 6002, 24509, 36, 40, NA, 387963,  X
50, 51.7, 33564, 28446, 9453, 242982, 122399, 389948, 179058, 5420, 10, 77, NA, 1011270,  X
