obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 2581, 18001, 274703, 464494, 474888, 331, 73773, 495149, 99, 83, NA, 1803920,  X*
2, 3.1, 751897, 178627, 1022236, 710622, 104017, 4068, 34807, 87454, 25, 46, NA, 2893728,  X*
3, 4.1, 551209, 106061, 265448, 27940, 479057, 601615, 194999, 64893, 8, 66, NA, 2291222,  X*
4, 5.1, 871710, 642, 8161, 204438, 192990, 34475, 536985, 16165, 32, 28, NA, 1865566,  X*
5, 6.1, 17459, 34153, 26499, 283687, 239452, 851621, 23154, 20630, 10, 6, NA, 1496655,  X*
6, 7.4, 151265, 129435, 18745, 1101620, 437, 1422362, 883, 4, 22, 56, NA, 2824751,  X*
7, 8.4, 366257, 399182, 42014, 114814, 2206549, 214, 14405, 691319, 31, 95, NA, 3834754,  X*
8, 9.4, 39232, 247168, 428116, 92439, 2040, 15330, 48214, 58461, 78, 44, NA, 931000,  X*
9, 10.5, 371, 123985, 1007249, 495264, 2998, 95504, 320182, 57223, 4, 77, NA, 2102776,  X*
10, 11.5, 18618, 159208, 13948, 79326, 28310, 25974, 40940, 703539, 99, 80, NA, 1069863,  X*
11, 12.5, 1197357, 617165, 141939, 400505, 670859, 6975, 242936, 87917, 48, 16, NA, 3365653,  X*
12, 13.6, 1097647, 315832, 141056, 411364, 233802, 681756, 34632, 653180, 82, 31, NA, 3569269,  X*
13, 14.6, 232164, 814179, 217689, 99, 360700, 926, 385626, 34, 70, 25, NA, 2011417,  X*
14, 15.6, 201521, 844233, 44107, 178586, 327997, 143232, 679920, 39, 49, 36, NA, 2419635,  X*
15, 16.9, 1416, 1703326, 302, 2465683, 393301, 90336, 188407, 102123, 44, 90, NA, 4944894,  X*
16, 18.0, 1435946, 190309, 153465, 55374, 155558, 57846, 52485, 47972, 7, 73, NA, 2148955,  X*
17, 19.0, 143946, 2092, 1006176, 467509, 40048, 12643, 816050, 55131, 92, 23, NA, 2543595,  X*
18, 20.0, 186921, 252663, 461859, 615742, 366999, 221856, 249319, 85194, 77, 50, NA, 2440553,  X*
19, 21.1, 26658, 832571, 136369, 86577, 655862, 253820, 269509, 302142, 92, 79, NA, 2563508,  X*
20, 22.1, 109168, 390081, 2, 14738, 74872, 85341, 122, 122480, 36, 2, NA, 796804,  X*
21, 23.1, 751075, 19200, 88551, 36499, 227394, 25964, 34686, 64147, 8, 22, NA, 1247516,  X*
