obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 541320, 66493, 3449, 212910, 475480, 1355977, 77695, 132258, 63, 50, NA, 2865582,  X
2, 3.1, 1031829, 64567, 590822, 216227, 213155, 82, 11438, 135717, 63, 66, NA, 2263837,  X
3, 4.1, 1277957, 622109, 434046, 3287, 92631, 48991, 961, 251927, 93, 10, NA, 2731909,  X
4, 5.1, 116141, 71737, 4823, 90317, 1336991, 903, 179988, 197176, 49, 84, NA, 1998076,  X
5, 6.1, 100851, 437108, 150663, 18205, 3328, 5701, 242940, 146, 23, 71, NA, 958942,  X
6, 7.1, 2199991, 68295, 285106, 176956, 1133404, 26201, 220710, 1019078, 63, 98, NA, 5129741,  X
7, 8.1, 221321, 30960, 169408, 844524, 227211, 13974, 56897, 92, 74, 80, NA, 1564387,  X
8, 9.1, 5591, 360983, 21680, 6458, 325906, 450225, 692120, 479609, 84, 53, NA, 2342572,  X
9, 10.1, 26814, 31950, 1, 41512, 19608, 29673, 287613, 209071, 73, 26, NA, 646242,  X
10, 11.1, 8729, 171523, 230, 558688, 349136, 73252, 123036, 24581, 79, 26, NA, 1309175,  X
11, 12.2, 457, 237781, 384271, 58761, 566286, 301974, 11950, 15894, 1, 31, NA, 1577374,  X
12, 13.2, 4829, 36636, 606628, 190267, 95393, 202377, 45985, 69119, 70, 22, NA, 1251234,  X
13, 14.2, 197935, 498081, 95442, 2517, 129824, 416536, 1725601, 262135, 68, 26, NA, 3328071,  X
14, 15.2, 68330, 804125, 129530, 3070, 175610, 470489, 36012, 727406, 28, 73, NA, 2414572,  X
15, 16.2, 345308, 140325, 424100, 459, 120896, 7717, 231668, 319968, 89, 64, NA, 1590441,  X
16, 17.2, 847634, 68973, 95321, 715715, 1069, 30584, 1269668, 19886, 1, 77, NA, 3048850,  X
17, 18.2, 329775, 167747, 38847, 627201, 424754, 469494, 24245, 99450, 76, 40, NA, 2181513,  X
18, 19.2, 8293, 943210, 13449, 11607, 1380113, 242075, 54806, 180105, 7, 65, NA, 2833658,  X
19, 20.2, 48709, 28, 348784, 28213, 569806, 184648, 1384, 303823, 44, 50, NA, 1485395,  X
20, 21.3, 271810, 22946, 378320, 11714, 168966, 26411, 823838, 169680, 70, 52, NA, 1873685,  X
21, 22.3, 227787, 6011, 246031, 260228, 101363, 208694, 1221039, 241608, 1, 32, NA, 2512761,  X
22, 23.3, 221100, 77606, 385184, 27669, 80545, 247463, 1892, 10585, 75, 33, NA, 1052044,  X
23, 24.3, 410921, 230095, 78733, 202997, 3825, 51337, 651422, 818524, 67, 81, NA, 2447854,  X
24, 25.3, 431007, 187434, 336338, 50563, 12135, 469393, 2112543, 72886, 77, 36, NA, 3672299,  X
