obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 242354, 302080, 244089, 130849, 140844, 236591, 956367, 51, 9, 100, NA, 2253225,  X
2, 3.1, 3875, 93976, 69764, 518596, 217427, 12681, 35286, 390071, 92, 77, NA, 1341676,  X
3, 4.2, 1997815, 112573, 355574, 485801, 7093, 380585, 1103, 213980, 81, 82, NA, 3554524,  X
4, 5.3, 182791, 1225447, 156187, 1003427, 1002537, 490854, 8, 42542, 99, 27, NA, 4103793,  X
5, 6.3, 688101, 9198, 6799, 34642, 335098, 2091090, 1079641, 1430907, 47, 13, NA, 5675476,  X
6, 7.3, 120174, 31, 293883, 74673, 52756, 171912, 362169, 242417, 44, 95, NA, 1318015,  X
7, 8.4, 49537, 153848, 11115, 18271, 417, 221594, 102484, 319654, 39, 64, NA, 876920,  X
8, 9.4, 846346, 670904, 11, 43159, 1365, 322788, 9623, 24356, 79, 32, NA, 1918552,  X
9, 10.4, 50501, 465276, 90986, 2516, 53801, 16379, 67841, 341997, 99, 28, NA, 1089297,  X
10, 11.4, 193301, 267975, 29417, 18, 3435, 472819, 796138, 81867, 82, 25, NA, 1844970,  X
11, 12.5, 636861, 183704, 141052, 4163, 606740, 1069441, 48953, 1424396, 39, 8, NA, 4115310,  X
12, 13.5, 107458, 19358, 5855, 58213, 752573, 264531, 542184, 992364, 62, 66, NA, 2742536,  X
13, 14.5, 25963, 362191, 794780, 628728, 632718, 30143, 345846, 684249, 54, 70, NA, 3504618,  X
14, 15.6, 27067, 7869, 372406, 184400, 145406, 16856, 236612, 125091, 99, 34, NA, 1115707,  X
15, 16.6, 7944, 2598, 113939, 85280, 74732, 88325, 521759, 1004533, 18, 34, NA, 1899110,  X
16, 17.6, 2108, 375937, 1495229, 64573, 54519, 986379, 840298, 19119, 24, 57, NA, 3838162,  X
17, 18.7, 443, 469207, 12618, 60583, 368131, 231527, 364098, 121399, 68, 100, NA, 1628006,  X
18, 19.7, 117499, 26795, 1219293, 60178, 10457, 1065989, 281196, 6424, 62, 67, NA, 2787831,  X
19, 20.7, 19509, 1028897, 62489, 1329073, 728, 680923, 614643, 519144, 15, 46, NA, 4255406,  X
20, 21.7, 84063, 488503, 125094, 42651, 281452, 420018, 31587, 57873, 52, 26, NA, 1531241,  X
21, 22.8, 2270, 72019, 89622, 13727, 128473, 196726, 187662, 425353, 88, 53, NA, 1115852,  X
22, 23.8, 652989, 2715, 567, 314752, 76827, 674403, 1088557, 395830, 64, 71, NA, 3206640,  X
23, 24.8, 47652, 18057, 492328, 332460, 328554, 99599, 270004, 1167150, 63, 83, NA, 2755804,  X
24, 25.8, 43852, 46644, 142768, 103090, 1057288, 259502, 3646, 149660, 5, 44, NA, 1806450,  X
25, 26.9, 10443, 313684, 183516, 81785, 19249, 3816, 480756, 2799, 58, 60, NA, 1096048,  X
26, 27.9, 83124, 127736, 28085, 9082, 138447, 24112, 44624, 164667, 20, 31, NA, 619877,  X
27, 28.9, 69419, 31545, 38888, 66558, 172585, 34858, 1908, 60811, 69, 35, NA, 476572,  X
28, 30.0, 226881, 523363, 26448, 44744, 43034, 943349, 54540, 30166, 14, 14, NA, 1892525,  X
29, 31.0, 5090, 298786, 126782, 11803, 164610, 278439, 117226, 500260, 99, 91, NA, 1502996,  X
30, 32.0, 3746, 17289, 208066, 607157, 355844, 70616, 1098368, 255227, 49, 28, NA, 2616313,  X
31, 33.1, 48209, 341570, 13427, 110845, 217839, 128990, 0, 275805, 53, 60, NA, 1136685,  X
32, 34.1, 64335, 40153, 13902, 25477, 60138, 58101, 65312, 94530, 59, 7, NA, 421948,  X
33, 35.1, 549308, 8277, 103685, 15661, 32809, 221751, 203949, 271489, 57, 6, NA, 1406929,  X
34, 36.1, 329945, 19449, 1989677, 872152, 110452, 192621, 418949, 7194, 36, 29, NA, 3940439,  X
35, 37.2, 483, 28004, 870, 266452, 84737, 100377, 377275, 4847, 58, 27, NA, 863045,  X
36, 38.2, 169650, 92688, 40543, 51101, 11053, 399827, 263800, 29956, 92, 6, NA, 1058618,  X
37, 39.2, 96142, 7392, 25650, 44468, 95182, 9618, 11495, 121992, 96, 50, NA, 411939,  X
38, 40.2, 352882, 59774, 1091068, 55679, 914102, 271351, 242618, 247429, 12, 100, NA, 3234903,  X
39, 41.2, 64629, 28226, 97343, 48751, 169259, 177626, 387648, 134705, 26, 100, NA, 1108187,  X
40, 42.2, 12270, 507116, 997460, 121858, 66086, 126193, 18770, 152642, 85, 34, NA, 2002395,  X
41, 43.2, 332436, 866080, 309211, 315622, 49864, 94514, 1494515, 30546, 44, 9, NA, 3492788,  X
42, 44.3, 94476, 192654, 219055, 341961, 96567, 10928, 101411, 18662, 88, 3, NA, 1075714,  X
43, 45.3, 147575, 142070, 622688, 309310, 207608, 2106468, 8238, 236473, 15, 75, NA, 3780430,  X
44, 46.3, 8580, 23223, 820297, 590325, 316358, 14174, 71896, 175781, 54, 69, NA, 2020634,  X
45, 47.3, 1178, 9147, 16940, 85478, 28261, 224713, 78854, 264606, 100, 43, NA, 709177,  X
46, 48.3, 343134, 388098, 43598, 25902, 26121, 210407, 294455, 6053, 8, 16, NA, 1337768,  X
47, 49.3, 142404, 62188, 81174, 43230, 222800, 101488, 409180, 352875, 43, 21, NA, 1415339,  X
48, 50.3, 812153, 40, 404013, 19739, 54140, 284878, 212638, 62508, 42, 76, NA, 1850109,  X
49, 51.3, 9513, 381125, 5309, 550616, 183160, 1707, 94662, 439122, 78, 25, NA, 1665214,  X
50, 52.3, 416346, 1344049, 787591, 928033, 123924, 27477, 32788, 44928, 1, 37, NA, 3705136,  X
51, 53.3, 4643, 33208, 13115, 231167, 88878, 418937, 694247, 920683, 99, 64, NA, 2404878,  X
52, 54.3, 193920, 68291, 118308, 129493, 405944, 108959, 70663, 201512, 99, 80, NA, 1297090,  X
53, 55.3, 714863, 150849, 435358, 158342, 52059, 41181, 411618, 9270, 74, 77, NA, 1973540,  X
54, 56.3, 68943, 24564, 28209, 136994, 811881, 306283, 89809, 179582, 54, 23, NA, 1646265,  X
55, 57.4, 345137, 28559, 181128, 169814, 1741, 24595, 92906, 369884, 60, 43, NA, 1213764,  X
56, 58.4, 19090, 491807, 41548, 775970, 13492, 27076, 4, 1369208, 18, 8, NA, 2738195,  X
57, 59.4, 1249, 77347, 556074, 25245, 7969, 456392, 8393, 346120, 41, 14, NA, 1478789,  X
58, 60.4, 18059, 1590946, 312943, 109533, 3902, 130054, 1008, 28293, 66, 67, NA, 2194738,  X
59, 61.4, 325291, 360178, 352931, 291816, 20269, 660997, 19368, 14505, 79, 88, NA, 2045355,  X
60, 62.4, 2410837, 88, 4822, 833, 16, 42657, 497574, 168429, 73, 21, NA, 3125256,  X
61, 63.4, 3287, 10009, 107166, 193621, 283184, 16, 279243, 204489, 28, 89, NA, 1081015,  X
62, 64.4, 116876, 197039, 41702, 93657, 30827, 95181, 5026, 276438, 100, 22, NA, 856746,  X
63, 65.4, 11889, 99623, 869717, 2757512, 12390, 247051, 944274, 199612, 79, 68, NA, 5142068,  X
64, 66.4, 4786, 1100709, 359, 105001, 95716, 758939, 5170, 1306, 44, 75, NA, 2071986,  X
65, 67.4, 131840, 8464, 292778, 212382, 25185, 32814, 60, 778366, 41, 62, NA, 1481889,  X
66, 68.4, 107485, 146080, 108548, 386924, 421207, 536651, 272165, 67352, 88, 13, NA, 2046412,  X
67, 69.5, 101156, 109284, 1859847, 597517, 161053, 652683, 28330, 687, 90, 49, NA, 3510557,  X
68, 70.5, 365505, 87721, 571780, 7894, 498855, 849750, 273263, 58158, 98, 29, NA, 2712926,  X
69, 71.5, 122872, 3735, 470379, 139085, 400284, 134394, 349261, 377924, 61, 31, NA, 1997934,  X
70, 72.5, 238598, 278, 441, 188888, 102573, 4691, 746145, 10067, 71, 10, NA, 1291681,  X
71, 73.5, 413, 38828, 1084385, 133581, 31017, 202020, 81450, 175007, 80, 8, NA, 1746701,  X
72, 74.5, 383216, 20930, 77861, 1057058, 25766, 130248, 574886, 538886, 84, 12, NA, 2808851,  X
73, 75.5, 90042, 27674, 82274, 109482, 270944, 31381, 735496, 91446, 80, 92, NA, 1438739,  X
74, 76.5, 304102, 126825, 80230, 89051, 34261, 55816, 162344, 108521, 50, 48, NA, 961150,  X
75, 77.5, 110153, 190810, 191757, 708, 119943, 0, 18633, 251244, 95, 74, NA, 883248,  X
76, 78.5, 436940, 137741, 28660, 183533, 19194, 16736, 1084607, 379993, 60, 86, NA, 2287404,  X
77, 79.5, 93381, 12, 575825, 174278, 265702, 262665, 530821, 140414, 13, 80, NA, 2043098,  X
78, 80.5, 8293, 564668, 63596, 627877, 9940, 13726, 96010, 59934, 64, 13, NA, 1444044,  X
79, 81.5, 83006, 582271, 74491, 466872, 151576, 187088, 17991, 64457, 17, 19, NA, 1627752,  X
80, 82.6, 226222, 37086, 615808, 42542, 7974, 935, 514142, 117500, 39, 18, NA, 1562209,  X
81, 83.6, 492384, 66370, 171854, 24148, 40472, 61810, 19213, 331562, 52, 96, NA, 1207813,  X
82, 84.6, 382510, 209252, 497511, 109797, 277972, 54675, 9708, 431924, 100, 44, NA, 1973349,  X
83, 85.6, 35271, 28317, 278922, 802, 885901, 2073705, 397156, 108540, 42, 28, NA, 3808614,  X
84, 86.6, 399430, 517684, 660783, 291072, 24826, 88583, 126732, 42582, 7, 46, NA, 2151692,  X
85, 87.6, 122714, 86964, 4112, 35316, 169128, 1855, 6070, 1249302, 90, 25, NA, 1675461,  X
86, 88.6, 1151907, 133912, 929391, 456164, 584967, 16160, 16400, 208507, 65, 95, NA, 3497408,  X
87, 89.6, 37071, 88636, 695967, 59629, 309450, 143329, 682209, 98025, 90, 32, NA, 2114316,  X
88, 90.6, 146636, 510427, 329029, 1165865, 9438, 371725, 37379, 63626, 3, 31, NA, 2634125,  X
89, 91.6, 439255, 8897, 557, 734405, 173940, 213022, 113321, 175482, 59, 31, NA, 1858879,  X
90, 92.6, 151027, 781883, 62796, 71877, 863720, 17026, 498238, 583666, 67, 60, NA, 3030233,  X
91, 93.6, 84478, 290176, 469811, 13622, 64508, 1324845, 84435, 1547, 51, 90, NA, 2333422,  X
92, 94.6, 896941, 208194, 826534, 265275, 115637, 157067, 4789, 3895, 51, 35, NA, 2478332,  X
93, 95.7, 144977, 168834, 6210, 528874, 67189, 136, 226592, 174956, 17, 36, NA, 1317768,  X
94, 96.7, 31357, 1221850, 45822, 7192, 209307, 272513, 197405, 617, 76, 71, NA, 1986063,  X
95, 97.7, 573297, 288215, 342081, 21167, 201598, 136485, 237317, 683335, 98, 49, NA, 2483495,  X
96, 98.7, 128037, 399496, 14601, 32590, 57962, 8662, 60778, 39721, 14, 31, NA, 741847,  X
97, 99.7, 879156, 361347, 20933, 524588, 203101, 208988, 91738, 37158, 24, 70, NA, 2327009,  X
98, 100.7, 76016, 235229, 6279, 45052, 629677, 9453, 103502, 12357, 20, 86, NA, 1117565,  X
99, 101.7, 1749, 241137, 69201, 8170, 862174, 53580, 164163, 32872, 61, 58, NA, 1433046,  X
100, 102.7, 190486, 3883, 166955, 124716, 592267, 143050, 54286, 475072, 53, 28, NA, 1750715,  X
101, 103.7, 18965, 481156, 18297, 41004, 35709, 11861, 106800, 676924, 31, 49, NA, 1390716,  X
102, 104.7, 189943, 26058, 128727, 595114, 63224, 28776, 134982, 41085, 9, 64, NA, 1207909,  X
103, 105.7, 140259, 32982, 231544, 3115, 10440, 1043584, 298418, 9538, 17, 10, NA, 1769880,  X
104, 106.7, 124491, 127917, 26001, 1983653, 966512, 112738, 1078315, 193557, 29, 73, NA, 4613184,  X
105, 107.7, 722, 96440, 502769, 1747499, 316635, 3714, 252525, 11098, 90, 21, NA, 2931402,  X
106, 108.8, 480768, 94530, 389197, 1706326, 34785, 12041, 23318, 2339540, 23, 18, NA, 5080505,  X
107, 109.8, 582289, 161004, 25540, 216320, 226600, 66657, 250892, 201309, 97, 2, NA, 1730611,  X
108, 110.8, 12553, 77674, 285509, 7285, 1867, 696967, 139072, 81280, 12, 60, NA, 1302207,  X
109, 111.8, 15004, 842596, 583699, 134172, 147161, 86001, 90071, 23, 29, 56, NA, 1898727,  X
110, 112.8, 593, 9823, 124595, 42924, 7065, 2662584, 38741, 307879, 34, 93, NA, 3194204,  X
111, 113.8, 151135, 131, 424320, 724, 640, 107999, 68673, 230957, 22, 12, NA, 984579,  X
