obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 803615, 986282, 70188, 100041, 657067, 41307, 376072, 4363, 48, 35, NA, 3038935,  X
2, 3.0, 569437, 20, 523134, 598729, 11908, 553454, 254243, 72291, 9, 39, NA, 2583216,  X
3, 4.1, 970158, 414725, 122052, 802497, 151766, 167666, 1858492, 26626, 42, 41, NA, 4513982,  X
4, 5.1, 487682, 176948, 271782, 18941, 1737, 238432, 13155, 88150, 83, 73, NA, 1296827,  X
5, 6.1, 1718, 286217, 288597, 274877, 25616, 993074, 141805, 382534, 12, 37, NA, 2394438,  X
6, 7.1, 51824, 34829, 362227, 726297, 200885, 655816, 426903, 143012, 68, 94, NA, 2601793,  X
7, 8.1, 80913, 207076, 396562, 369835, 715341, 9074, 60427, 74450, 49, 53, NA, 1913678,  X
8, 9.1, 575983, 29613, 411338, 1233, 281004, 14429, 62444, 295809, 8, 98, NA, 1671853,  X
9, 10.1, 1569, 2835719, 6976, 5987, 122201, 723836, 100157, 937844, 40, 27, NA, 4734289,  X
10, 11.1, 138313, 1211244, 33875, 629572, 588190, 48031, 348716, 258549, 43, 47, NA, 3256490,  X
11, 12.2, 360741, 91125, 609548, 17054, 4472, 1363058, 47009, 117457, 36, 60, NA, 2610464,  X
12, 13.2, 391, 622594, 216494, 4013, 355424, 1610430, 8598, 319912, 31, 69, NA, 3137856,  X
13, 14.2, 19506, 1222676, 1061, 44605, 6157, 436979, 836418, 52974, 94, 41, NA, 2620376,  X
14, 15.2, 261614, 18320, 167662, 494689, 515965, 4274, 621720, 54423, 35, 93, NA, 2138667,  X
15, 16.2, 330279, 556960, 1079717, 1036, 40794, 143214, 99572, 150355, 35, 42, NA, 2401927,  X
16, 17.2, 631007, 444, 1613299, 788195, 2133, 330387, 74811, 11186, 27, 27, NA, 3451462,  X
17, 18.2, 686586, 75423, 70374, 225331, 238450, 242131, 70, 438155, 79, 4, NA, 1976520,  X
18, 19.2, 1919, 264581, 365371, 942363, 586095, 338650, 175411, 369717, 81, 62, NA, 3044107,  X
19, 20.2, 204143, 282125, 4821, 227900, 1017, 104544, 936350, 1, 92, 78, NA, 1760901,  X
20, 21.3, 468, 307992, 289850, 38009, 430629, 301, 323880, 480555, 65, 10, NA, 1871684,  X
21, 22.3, 452104, 110203, 70680, 17684, 32717, 1318773, 191558, 43435, 63, 80, NA, 2237154,  X
