obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 84350, 6252, 16897, 77350, 1460117, 64773, 290196, 10485, 80, 59, NA, 2010420,  X
2, 3.0, 70199, 954815, 143790, 136009, 190991, 4047, 18763, 60470, 77, 6, NA, 1579084,  X
3, 4.1, 1161480, 183552, 374816, 314251, 314156, 825740, 1903, 336567, 73, 20, NA, 3512465,  X
4, 5.1, 515646, 3476, 325839, 6241, 127638, 103309, 410716, 1143061, 42, 11, NA, 2635926,  X
5, 6.1, 1948, 125317, 506729, 362766, 1602, 30907, 269830, 366333, 5, 37, NA, 1665432,  X
6, 7.1, 130282, 495170, 370876, 1502320, 110605, 97521, 862157, 308610, 33, 80, NA, 3877541,  X
7, 8.1, 256, 395106, 606780, 576191, 1566301, 148255, 224113, 843152, 84, 83, NA, 4360154,  X
8, 9.1, 224423, 409113, 905703, 83096, 222983, 12786, 161073, 730, 91, 5, NA, 2019907,  X
9, 10.1, 11654, 520246, 129918, 1187892, 13761, 102877, 107735, 401665, 75, 56, NA, 2475748,  X
10, 11.1, 137851, 553, 584430, 1124380, 375, 22794, 6564, 27372, 78, 2, NA, 1904319,  X
11, 12.2, 164219, 63010, 994478, 810872, 1351455, 3545, 88797, 645188, 20, 48, NA, 4121564,  X
12, 13.2, 84240, 379078, 29783, 151437, 48380, 725781, 5371, 12, 84, 84, NA, 1424082,  X
13, 14.2, 16023, 650719, 419980, 588681, 7890, 191232, 4878, 3647, 8, 32, NA, 1883050,  X
14, 15.2, 340653, 670176, 17377, 32699, 2499, 24426, 6786, 535, 35, 30, NA, 1095151,  X
15, 16.2, 70399, 793589, 1850862, 66008, 14334, 2818289, 13841, 465860, 94, 60, NA, 6093182,  X
16, 17.2, 324832, 1634095, 460692, 913438, 11442, 766770, 561667, 80130, 23, 13, NA, 4753066,  X
17, 18.2, 1310335, 11915, 122292, 172893, 1333159, 193607, 111675, 101450, 92, 60, NA, 3357326,  X
18, 19.2, 194780, 29910, 943537, 62, 396963, 384604, 71493, 241819, 18, 69, NA, 2263168,  X
19, 20.2, 188389, 17407, 401780, 977967, 264980, 123177, 243643, 35773, 27, 65, NA, 2253116,  X
20, 21.2, 54612, 11595, 244679, 40860, 1274829, 69989, 191812, 68178, 21, 82, NA, 1956554,  X
21, 22.2, 54437, 616120, 1942123, 4071, 52184, 1648916, 254, 30630, 87, 13, NA, 4348735,  X
22, 23.2, 74632, 406263, 56745, 150954, 303393, 494234, 5844, 171914, 95, 70, NA, 1663979,  X
23, 24.2, 464051, 2090095, 607903, 6759, 382847, 1168166, 0, 298200, 31, 79, NA, 5018021,  X
24, 25.3, 76247, 166145, 1924336, 566746, 3835, 1723938, 706793, 117405, 66, 22, NA, 5285445,  X
25, 26.3, 680033, 1180431, 45787, 1038064, 23021, 49772, 509690, 1121661, 54, 1, NA, 4648459,  X
26, 27.3, 3117, 258050, 199122, 2068, 143002, 921812, 269910, 90319, 25, 43, NA, 1887400,  X
27, 28.3, 81162, 443435, 1354087, 103259, 754055, 360975, 177441, 128240, 47, 52, NA, 3402654,  X
28, 29.3, 292431, 31803, 188522, 643530, 463863, 4221, 9354, 107638, 95, 95, NA, 1741362,  X
29, 30.3, 97034, 432351, 16046, 42440, 492255, 94376, 126649, 86306, 71, 46, NA, 1387457,  X
30, 31.3, 840597, 7158, 616340, 264854, 233786, 203481, 7430, 162426, 31, 11, NA, 2336072,  X
