obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 147256, 102, 161264, 284711, 402323, 102230, 33999, 161985, 86, 78, NA, 1293870,  X
2, 3.0, 3254072, 73940, 1252967, 25081, 8588, 20995, 133091, 130971, 65, 76, NA, 4899705,  X
3, 4.0, 837309, 25935, 2096, 6392, 20746, 109672, 2223, 544027, 33, 84, NA, 1548400,  X
4, 5.0, 11132, 393336, 169891, 10940, 76, 92197, 7488, 95505, 19, 54, NA, 780565,  X
5, 6.1, 171119, 180433, 18977, 110563, 675233, 634547, 79989, 68084, 28, 12, NA, 1938945,  X
6, 7.1, 424767, 1614, 76975, 127129, 40193, 228113, 54228, 28928, 33, 38, NA, 981947,  X
7, 8.1, 272813, 30506, 52299, 6491, 4837, 200861, 310, 65791, 43, 88, NA, 633908,  X
8, 9.1, 10805, 1360428, 17108, 28785, 169536, 3143, 3177, 447103, 64, 17, NA, 2040085,  X
9, 10.1, 803067, 340640, 83954, 171843, 3443, 55288, 107951, 9521, 60, 73, NA, 1575707,  X
10, 11.1, 392645, 100, 446774, 138255, 297154, 335787, 61480, 410267, 47, 76, NA, 2082462,  X
11, 12.1, 238717, 7499, 98637, 17460, 312854, 25682, 174434, 178136, 44, 51, NA, 1053419,  X
12, 13.1, 113296, 271435, 231724, 101042, 257028, 25357, 779705, 76571, 84, 77, NA, 1856158,  X
13, 14.1, 91480, 381689, 112658, 121203, 18307, 4635, 159787, 740450, 88, 80, NA, 1630209,  X
14, 15.2, 249231, 109881, 80256, 3785591, 2112853, 35703, 19026, 3576, 100, 82, NA, 6396117,  X
15, 16.2, 0, 949990, 397304, 2170676, 522025, 12044, 27457, 527, 96, 42, NA, 4080023,  X
16, 17.2, 555705, 162880, 148025, 27507, 171451, 834167, 202211, 255968, 88, 88, NA, 2357914,  X
17, 18.2, 8, 6186, 110858, 127965, 3503, 131950, 615880, 9794, 71, 84, NA, 1006144,  X
18, 19.2, 1777731, 404178, 6227, 38076, 83137, 34145, 295093, 69057, 35, 96, NA, 2707644,  X
19, 20.2, 44554, 224681, 476638, 121950, 982168, 25516, 12915, 76622, 26, 63, NA, 1965044,  X
20, 21.2, 249702, 16698, 70771, 314806, 1136851, 315030, 378821, 10750, 88, 26, NA, 2493429,  X
21, 22.3, 357579, 922652, 49799, 95225, 5854, 74180, 599741, 411516, 79, 8, NA, 2516546,  X
22, 23.3, 51915, 235292, 533586, 20292, 44628, 92719, 1971634, 710702, 55, 87, NA, 3660768,  X
23, 24.3, 337853, 376771, 536290, 988, 161124, 2796, 642432, 753516, 28, 47, NA, 2811770,  X
24, 25.3, 82926, 734461, 400930, 24810, 7107, 267859, 44209, 18869, 38, 95, NA, 1581171,  X
