obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 1149360, 456497, 56001, 832346, 132280, 873570, 154621, 16194, 74, 35, NA, 3670869,  X
2, 3.0, 35085, 9453, 206867, 1888, 142481, 862558, 411910, 837471, 18, 19, NA, 2507713,  X
3, 4.3, 504241, 237236, 3401, 267362, 230055, 274679, 142840, 402444, 39, 61, NA, 2062258,  X
4, 5.3, 276870, 324591, 642811, 50609, 5651, 216119, 642, 172295, 89, 63, NA, 1689588,  X
5, 6.3, 2656, 291863, 155428, 425454, 434218, 6273, 373675, 843327, 63, 50, NA, 2532894,  X
6, 7.3, 173746, 22607, 101241, 238854, 179265, 629266, 1130668, 182110, 36, 94, NA, 2657757,  X
7, 8.4, 1086087, 15652, 14183, 15491, 10507, 317187, 47451, 120774, 8, 13, NA, 1627332,  X
8, 9.4, 59410, 772711, 793, 111196, 515929, 155638, 5365, 88102, 45, 41, NA, 1709144,  X
9, 10.4, 5944, 94636, 162933, 1293011, 931509, 599844, 182800, 65730, 3, 97, NA, 3336407,  X
10, 11.4, 68871, 4193, 177346, 82949, 511235, 2827, 665918, 11189, 68, 60, NA, 1524528,  X
11, 12.4, 71510, 509411, 175372, 126162, 51, 63503, 326580, 14791, 19, 69, NA, 1287380,  X
12, 13.4, 4269, 14703, 1378482, 1397318, 119368, 292626, 17, 542398, 27, 49, NA, 3749181,  X
13, 14.4, 114402, 149177, 55089, 123646, 473576, 19176, 436508, 371644, 51, 14, NA, 1743218,  X
14, 15.4, 106616, 35088, 473, 128340, 664190, 131183, 415377, 85592, 71, 91, NA, 1566859,  X
15, 16.4, 899616, 542500, 58540, 42754, 77854, 176418, 94760, 133743, 81, 55, NA, 2026185,  X
16, 17.4, 1941065, 1139, 52418, 63005, 1285954, 1083928, 419544, 756993, 7, 72, NA, 5604046,  X
17, 18.4, 6639, 7331, 6002, 32462, 10527, 241351, 180859, 3365, 4, 85, NA, 488536,  X
18, 19.4, 1038161, 598992, 1131389, 720167, 474629, 232142, 242834, 284435, 33, 78, NA, 4722749,  X
19, 20.5, 74538, 23101, 25544, 134128, 887684, 83213, 20346, 555890, 46, 86, NA, 1804444,  X
20, 21.5, 39731, 44268, 60013, 9328, 241042, 32253, 258191, 1144466, 96, 12, NA, 1829292,  X
21, 22.5, 2689, 80800, 33216, 2161, 30706, 411077, 22512, 187145, 40, 38, NA, 770306,  X
22, 23.5, 79565, 950047, 1461328, 141308, 67712, 38111, 56998, 386723, 35, 100, NA, 3181792,  X
23, 24.5, 4304, 9823, 129437, 32852, 146415, 14078, 29964, 868713, 32, 14, NA, 1235586,  X
24, 25.5, 264137, 1812, 87256, 34724, 1002720, 1299682, 130922, 1844486, 77, 78, NA, 4665739,  X
25, 26.5, 132175, 1523462, 5468, 58139, 404209, 110644, 326159, 77079, 27, 31, NA, 2637335,  X
26, 27.5, 596, 1505813, 451701, 4289, 2970067, 68996, 388372, 30761, 15, 43, NA, 5420595,  X
27, 28.5, 817304, 3809, 91540, 99546, 640840, 98603, 294008, 611378, 22, 28, NA, 2657028,  X
28, 29.5, 159008, 108322, 105794, 11813, 185281, 432542, 149926, 103085, 26, 63, NA, 1255771,  X
29, 30.5, 3630, 79165, 280339, 61417, 19095, 236417, 212957, 255, 73, 31, NA, 893275,  X
30, 31.5, 940, 38803, 11614, 84257, 4148, 14313, 699304, 2231511, 84, 18, NA, 3084890,  X
31, 32.5, 11413, 88667, 324213, 170723, 63748, 86193, 252748, 775, 64, 28, NA, 998480,  X
32, 33.5, 128428, 187546, 9305, 724607, 22776, 264517, 64313, 45414, 9, 71, NA, 1446906,  X
33, 34.5, 38124, 359023, 243065, 61226, 15024, 67570, 1184489, 278176, 6, 21, NA, 2246697,  X
34, 35.6, 20222, 1421666, 43528, 33466, 425483, 362784, 121719, 1822496, 99, 59, NA, 4251364,  X
35, 36.6, 3329, 87244, 5, 7777, 748081, 100985, 102155, 53852, 67, 54, NA, 1103428,  X
36, 37.6, 210464, 9455, 922152, 7324, 79221, 237424, 20588, 8171, 91, 53, NA, 1494799,  X
37, 38.6, 40172, 364224, 4705, 121194, 447800, 12734, 173596, 1, 56, 67, NA, 1164426,  X
38, 39.6, 705524, 506728, 394865, 2119841, 303720, 1454, 29100, 188424, 10, 11, NA, 4249656,  X
39, 40.6, 1635, 88298, 168984, 731720, 490, 554431, 63551, 562790, 96, 3, NA, 2171899,  X
40, 41.6, 912088, 296714, 262477, 326185, 10524, 10457, 236506, 187664, 51, 16, NA, 2242615,  X
41, 42.6, 114023, 657830, 181368, 58600, 609040, 0, 256624, 17777, 18, 33, NA, 1895262,  X
42, 43.6, 154464, 293598, 3062, 2623269, 33709, 36512, 274545, 32803, 52, 34, NA, 3451962,  X
43, 44.6, 7907, 113774, 15148, 719307, 213403, 10509, 36566, 613110, 66, 16, NA, 1729724,  X
44, 45.7, 11655, 224310, 1066102, 302274, 1610078, 26471, 1509, 557760, 68, 15, NA, 3800159,  X
45, 46.7, 604648, 280218, 655321, 31070, 4316, 94654, 92553, 359644, 19, 27, NA, 2122424,  X
46, 47.7, 1263, 81, 611111, 8116, 61595, 1128591, 31665, 27372, 28, 55, NA, 1869794,  X
47, 48.7, 371363, 36992, 66162, 829, 109849, 209948, 52108, 56119, 69, 69, NA, 903370,  X
48, 49.7, 182750, 18350, 678003, 26043, 387746, 185274, 151142, 5, 24, 43, NA, 1629313,  X
49, 50.7, 614747, 292801, 90881, 418, 378526, 1019496, 1017700, 191474, 77, 70, NA, 3606043,  X
50, 51.7, 313763, 275191, 260387, 207184, 489173, 607394, 158720, 147583, 78, 5, NA, 2459395,  X
51, 52.7, 284013, 79608, 412679, 107390, 17054, 288397, 953, 1772321, 44, 95, NA, 2962415,  X
52, 53.8, 11754, 15582, 165970, 32203, 66800, 73007, 142149, 1084640, 15, 58, NA, 1592105,  X
53, 54.8, 84711, 66394, 185408, 46785, 374549, 223957, 236743, 219598, 91, 46, NA, 1438145,  X
54, 55.8, 36197, 273463, 422769, 189496, 94407, 73766, 10143, 2225, 40, 71, NA, 1102466,  X
55, 56.8, 968330, 506870, 167396, 39143, 8473, 765163, 26988, 503988, 19, 60, NA, 2986351,  X
56, 57.8, 13455, 51677, 229097, 35337, 326014, 514833, 296244, 155178, 52, 8, NA, 1621835,  X
57, 58.8, 474012, 1068, 1049684, 53247, 15559, 337881, 37228, 144860, 51, 74, NA, 2113539,  X
58, 59.8, 1052054, 83314, 32534, 27989, 46663, 385101, 782, 263772, 38, 83, NA, 1892209,  X
59, 60.8, 66, 83463, 686932, 179608, 299208, 49895, 2987, 15342, 67, 34, NA, 1317501,  X
60, 61.8, 44463, 19257, 121854, 40496, 25867, 86407, 9504, 23066, 61, 1, NA, 370914,  X
