obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 19998, 484901, 382054, 56377, 1845, 772746, 5823, 410022, 92, 83, NA, 2133766,  X
2, 3.0, 72385, 5954, 173042, 567899, 295197, 51838, 491602, 1538304, 60, 45, NA, 3196221,  X
3, 4.1, 99, 53793, 258916, 69455, 1153696, 77041, 522764, 30881, 14, 57, NA, 2166645,  X
4, 5.1, 116549, 228330, 248, 503505, 74646, 20116, 292689, 565196, 85, 42, NA, 1801279,  X
5, 6.1, 15522, 27851, 29859, 317796, 315657, 2193947, 57553, 5449, 87, 30, NA, 2963634,  X
6, 7.1, 914463, 281040, 13536, 668, 134894, 1079476, 876956, 1650, 20, 74, NA, 3302683,  X
7, 8.1, 73994, 8530, 172482, 411599, 66469, 969836, 9219, 11543, 72, 97, NA, 1723672,  X
8, 9.1, 25284, 45431, 887122, 97482, 793967, 18576, 1739, 81868, 76, 98, NA, 1951469,  X
9, 10.1, 22423, 266194, 39657, 268341, 2743, 17311, 14521, 32843, 33, 67, NA, 664033,  X
10, 11.1, 731712, 218353, 200202, 302342, 43392, 836107, 66017, 37240, 32, 16, NA, 2435365,  X
11, 12.2, 190632, 281839, 45259, 578, 125240, 8572, 152644, 162497, 47, 98, NA, 967261,  X
12, 13.2, 97698, 557355, 82478, 136080, 235440, 116700, 75567, 279818, 16, 58, NA, 1581136,  X
13, 14.2, 262, 368152, 181162, 248484, 24253, 23603, 478313, 107852, 68, 26, NA, 1432081,  X
14, 15.2, 11331, 1930, 274820, 18635, 8454, 19629, 608793, 21489, 15, 97, NA, 965081,  X
15, 16.2, 184402, 11543, 31188, 55654, 623571, 65124, 78127, 458592, 82, 58, NA, 1508201,  X
16, 17.2, 90386, 1286, 405848, 104933, 6928, 1661931, 2605364, 359917, 74, 53, NA, 5236593,  X
17, 18.2, 17101, 10318, 234043, 139319, 75603, 262207, 10429, 11309, 54, 5, NA, 760329,  X
18, 19.2, 12102, 2433, 126906, 389389, 9841, 44819, 2358, 257974, 46, 91, NA, 845822,  X
19, 20.3, 34103, 17948, 105744, 564163, 269356, 94695, 101157, 402, 82, 62, NA, 1187568,  X
20, 21.3, 8380, 177202, 389431, 193616, 959, 99229, 33010, 34831, 55, 44, NA, 936658,  X
21, 22.3, 52445, 313840, 115193, 969950, 1100290, 1442, 134349, 27, 15, 49, NA, 2687536,  X
22, 23.3, 48400, 164410, 1451, 822500, 1537544, 507552, 299528, 1511659, 33, 29, NA, 4893044,  X
23, 24.3, 134712, 0, 105594, 49196, 342066, 270920, 3041, 42236, 25, 66, NA, 947765,  X
24, 25.3, 541975, 68935, 3985051, 210758, 47158, 76379, 34602, 250840, 73, 72, NA, 5215698,  X
25, 26.3, 1183777, 1132512, 990913, 20410, 93234, 1960659, 13739, 94723, 86, 11, NA, 5489967,  X
26, 27.3, 125374, 236370, 16801, 25862, 1342, 4344, 1366775, 130731, 94, 45, NA, 1907599,  X
27, 28.4, 334849, 853, 17485, 295692, 38331, 785330, 5844, 634, 48, 32, NA, 1479018,  X
28, 29.4, 3820, 94951, 149234, 235446, 343102, 151782, 761, 2569, 91, 17, NA, 981665,  X
29, 30.4, 210198, 371637, 265016, 54743, 1057886, 46893, 396438, 6777, 42, 95, NA, 2409588,  X
30, 31.4, 297027, 42560, 2984, 1689597, 299035, 159254, 454807, 170452, 99, 2, NA, 3115716,  X
31, 32.4, 5280, 29185, 3756, 17963, 350829, 1030870, 34, 375880, 39, 68, NA, 1813797,  X
32, 33.4, 697244, 17118, 82491, 516678, 3189, 421900, 16820, 1238784, 63, 95, NA, 2994224,  X
33, 34.4, 54458, 38131, 158557, 2499, 1160353, 748801, 331553, 307862, 88, 30, NA, 2802214,  X
34, 35.4, 303355, 51, 110850, 11689, 19384, 30578, 367475, 58287, 3, 82, NA, 901669,  X
35, 36.4, 66922, 16929, 7533, 696869, 20507, 2568143, 2363, 825634, 43, 75, NA, 4204900,  X
