obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 1736, 451, 16634, 1331474, 9542, 658, 4770057, 48945, 68, 65, NA, 6179497,  X
2, 3.1, 289974, 208262, 30133, 42871, 70010, 963718, 230755, 1913, 55, 94, NA, 1837636,  X
3, 4.1, 1140028, 256616, 38530, 1908416, 473959, 20076, 74270, 97468, 96, 81, NA, 4009363,  X
4, 5.1, 2701872, 191588, 1407, 30236, 8418, 243844, 20679, 602070, 30, 49, NA, 3800114,  X
5, 6.1, 1648918, 682412, 31272, 1773, 554220, 15592, 3325, 4708, 52, 36, NA, 2942220,  X
6, 7.1, 107718, 154277, 86059, 76676, 220746, 253049, 340572, 117767, 62, 64, NA, 1356864,  X
7, 8.1, 38588, 79138, 3387, 14404, 134038, 82637, 51939, 18988, 59, 36, NA, 423119,  X
8, 9.1, 17779, 111485, 28824, 61900, 248109, 6938, 540002, 514230, 25, 11, NA, 1529267,  X
9, 10.1, 2713980, 33273, 621513, 910, 10542, 1958, 93105, 58612, 39, 72, NA, 3533893,  X
10, 11.2, 572099, 208375, 160304, 70503, 4562, 193187, 527568, 49729, 82, 37, NA, 1786327,  X
11, 12.2, 241300, 55491, 281867, 311385, 210930, 105281, 129457, 129513, 83, 2, NA, 1465224,  X
12, 13.2, 529235, 1287203, 449349, 1076, 529611, 13757, 22507, 43870, 87, 56, NA, 2876608,  X
13, 14.2, 106114, 22526, 401932, 201131, 1009547, 181027, 10999, 86916, 46, 59, NA, 2020192,  X
14, 15.2, 725278, 97506, 172965, 549082, 295, 473909, 220615, 25559, 86, 11, NA, 2265209,  X
15, 16.2, 48967, 1562533, 661252, 42777, 14549, 228, 355020, 66, 63, 10, NA, 2685392,  X
16, 17.2, 1725, 323156, 94567, 143053, 50979, 108004, 72954, 238734, 44, 1, NA, 1033172,  X
