obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 955990, 470358, 1454, 304108, 39141, 22283, 8757, 64028, 97, 38, NA, 1866119,  4
2, 3.0, 27450, 300571, 298216, 137932, 147001, 112504, 28384, 330661, 15, 37, NA, 1382719,  4
3, 4.0, 101022, 173240, 52926, 15693, 37325, 559187, 20118, 172835, 79, 40, NA, 1132346,  4
4, 5.0, 39960, 144325, 210111, 118766, 2703, 121745, 11767, 3301, 99, 13, NA, 652678,  4
5, 6.0, 679452, 90802, 3925, 623278, 4236, 135679, 9692, 159234, 13, 7, NA, 1706298,  4
6, 7.1, 141193, 1797, 109485, 361100, 14411, 316879, 216772, 18669, 17, 11, NA, 1180306,  4
7, 8.1, 1054692, 676370, 280289, 231098, 270116, 263652, 1166657, 558253, 86, 85, NA, 4501127,  4
8, 9.1, 177133, 447731, 503011, 846321, 145951, 321509, 92726, 105050, 78, 31, NA, 2639432,  4
9, 10.1, 2322, 179194, 5907, 3852, 153974, 91816, 228190, 373321, 46, 43, NA, 1038576,  4
10, 11.1, 157963, 64051, 116983, 174187, 232374, 435704, 98683, 5793, 90, 83, NA, 1285738,  4
11, 12.1, 6290, 61974, 53804, 2749, 449788, 205526, 499538, 17243, 67, 100, NA, 1296912,  4
12, 13.1, 2900, 232744, 323729, 59149, 550942, 25687, 5253, 29657, 2, 48, NA, 1230061,  4
13, 14.1, 24910, 29640, 2, 18050, 570, 146, 532910, 3826, 16, 43, NA, 610054,  4
14, 15.1, 87121, 207343, 6778, 182851, 412994, 24279, 28295, 87740, 39, 72, NA, 1037401,  4
15, 16.2, 47327, 4814, 808946, 692613, 404737, 226468, 236305, 592301, 19, 57, NA, 3013511,  4
16, 17.2, 306169, 554772, 160058, 242872, 162320, 8036, 53594, 458710, 21, 74, NA, 1946531,  4
17, 18.2, 356745, 470036, 668314, 8047, 19480, 6654, 120802, 76121, 34, 46, NA, 1726199,  4
18, 19.2, 115672, 238911, 1217804, 104850, 51730, 44, 21048, 35172, 86, 52, NA, 1785231,  4
19, 20.2, 1117017, 128199, 199455, 273670, 101309, 83464, 821554, 219, 96, 77, NA, 2724887,  4
20, 21.2, 1497514, 311629, 48722, 292401, 280721, 40276, 761741, 34918, 98, 60, NA, 3267922,  4
21, 22.2, 94364, 22664, 10630, 1214, 150459, 605236, 12631, 390780, 51, 15, NA, 1287978,  4
22, 23.2, 10544, 2676, 246339, 175293, 618754, 520946, 30393, 21985, 17, 25, NA, 1626930,  4
23, 24.2, 882861, 380199, 571826, 120862, 659, 177236, 1161688, 172146, 36, 56, NA, 3467477,  4
24, 25.3, 185512, 259103, 173100, 98589, 1526, 662433, 9365, 435978, 90, 38, NA, 1825606,  4
25, 26.3, 49423, 1958318, 421293, 14811, 511028, 90024, 1189401, 244959, 35, 2, NA, 4479257,  4
26, 27.3, 21264, 115150, 1936, 563592, 772809, 62239, 236688, 310526, 89, 5, NA, 2084204,  4
27, 28.3, 236534, 2043, 365002, 597048, 45496, 12541, 236152, 12647, 92, 98, NA, 1507463,  4
28, 29.3, 263096, 700751, 27407, 27552, 0, 172755, 395962, 4815, 66, 99, NA, 1592338,  4
29, 30.3, 58, 157283, 235497, 565963, 16781, 22441, 119762, 26019, 72, 62, NA, 1143804,  4
30, 31.3, 183126, 1768, 179092, 51059, 35658, 416153, 150665, 265463, 47, 59, NA, 1282984,  4
31, 32.3, 464432, 118923, 221516, 672100, 478091, 23071, 47596, 1720475, 82, 90, NA, 3746204,  4
32, 33.4, 196, 199650, 4129643, 62756, 545725, 28682, 28860, 184874, 1, 97, NA, 5180386,  4
33, 34.4, 12352, 574296, 95279, 930027, 50375, 246032, 289552, 635233, 87, 46, NA, 2833146,  4
34, 35.4, 45494, 4977, 57186, 103463, 549464, 74691, 91047, 416800, 47, 77, NA, 1343122,  4
35, 36.4, 19583, 666321, 11799, 313253, 125058, 230223, 37620, 968259, 90, 73, NA, 2372116,  4
36, 37.4, 549895, 781598, 14643, 808764, 511386, 10950, 55, 10155, 18, 34, NA, 2687446,  4
37, 38.4, 787005, 30122, 998850, 28362, 199456, 116522, 636, 133806, 87, 11, NA, 2294759,  4
38, 39.4, 425741, 956068, 276116, 504817, 1000267, 1496, 7126, 46908, 11, 24, NA, 3218539,  4
