obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 9255, 64772, 89, 116344, 27199, 63688, 109209, 15756, 69, 87, NA, 406312,  X
2, 3.0, 629512, 9854, 5126, 35945, 185571, 41004, 4137, 983450, 41, 15, NA, 1894599,  X
3, 4.4, 0, 238579, 416693, 16207, 4070, 55200, 53477, 31698, 5, 56, NA, 815924,  X
4, 5.4, 1966021, 248, 50449, 60906, 314599, 50931, 430186, 137627, 100, 19, NA, 3010967,  X
5, 6.4, 325183, 641526, 151924, 596729, 59256, 215394, 290302, 359, 61, 71, NA, 2280673,  X
6, 7.4, 437782, 1037266, 152079, 560930, 45436, 32103, 475231, 1704995, 26, 29, NA, 4445822,  X
7, 8.4, 912417, 583812, 1089916, 172687, 33252, 93702, 1239, 53752, 49, 39, NA, 2940777,  X
8, 9.4, 1495556, 927, 402686, 671888, 168000, 14394, 47088, 54518, 28, 33, NA, 2855057,  X
9, 10.4, 325398, 162960, 5519, 18049, 3100, 14, 738, 656394, 66, 1, NA, 1172172,  X
10, 11.4, 487531, 44227, 8057, 69178, 41147, 2284, 9301, 138487, 40, 21, NA, 800212,  X
11, 12.4, 43983, 827, 39788, 731999, 919489, 285752, 1914, 132558, 33, 63, NA, 2156310,  X
12, 13.5, 256004, 306, 13541, 64111, 67657, 3938, 5918, 121489, 76, 48, NA, 532964,  X
13, 14.5, 588933, 29511, 146897, 589972, 215216, 379411, 862412, 306242, 29, 73, NA, 3118594,  X
14, 15.5, 74100, 74361, 726196, 570192, 42890, 531268, 1919072, 757154, 47, 4, NA, 4695233,  X
15, 16.5, 148365, 1962664, 33162, 152153, 219745, 28134, 138302, 101182, 48, 84, NA, 2783707,  X
16, 17.5, 226961, 833303, 44919, 10116, 255, 412263, 121208, 543041, 43, 94, NA, 2192066,  X
17, 18.5, 183742, 886097, 2737, 354485, 175786, 474724, 259945, 224465, 62, 76, NA, 2561981,  X
18, 19.5, 1884, 505429, 45504, 1122162, 23399, 614309, 47560, 684779, 68, 66, NA, 3045026,  X
19, 20.5, 42671, 4901, 31560, 57472, 219960, 91460, 74517, 127200, 21, 88, NA, 649741,  X
20, 21.6, 49642, 1487713, 196678, 34869, 681881, 779460, 433049, 777, 81, 69, NA, 3664069,  X
21, 22.6, 8951, 117366, 1631760, 1239, 751389, 128928, 330037, 225757, 31, 73, NA, 3195427,  X
22, 23.6, 1445, 543034, 260982, 847097, 19678, 181816, 315158, 619630, 66, 78, NA, 2788840,  X
23, 24.6, 308840, 73282, 107054, 63019, 115549, 83386, 72405, 552256, 90, 83, NA, 1375791,  X
24, 25.6, 653827, 106147, 1237314, 118027, 48360, 150723, 444334, 141416, 14, 92, NA, 2900148,  X
25, 26.6, 53167, 682639, 36180, 339052, 5358, 499544, 498894, 21093, 31, 44, NA, 2135927,  X
26, 27.6, 2504, 634365, 887, 98881, 21945, 44223, 250875, 428, 41, 53, NA, 1054108,  X
27, 28.6, 110767, 195141, 34898, 318079, 22321, 218040, 16932, 94130, 64, 70, NA, 1010308,  X
28, 29.6, 184944, 82180, 341350, 13010, 334473, 47895, 61732, 19842, 81, 72, NA, 1085426,  X
