obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 886087, 301618, 90134, 543, 75095, 253, 12844, 2055, 32, 76, NA, 1368629,  a*
2, 3.1, 131969, 12984, 225853, 890122, 161936, 1136, 121583, 457806, 61, 45, NA, 2003389,  a*
3, 4.1, 136148, 3805, 72738, 117995, 169713, 20175, 3360, 8928, 36, 8, NA, 532862,  a*
4, 5.1, 152763, 58716, 86, 17380, 1878191, 1156142, 7807, 29804, 72, 10, NA, 3300889,  a*
5, 6.2, 65806, 58, 156284, 80517, 915572, 1925, 401831, 45523, 67, 51, NA, 1667516,  a*
6, 7.2, 571831, 306592, 484048, 138, 694881, 138931, 301544, 81537, 17, 53, NA, 2579502,  a*
7, 8.3, 45288, 64290, 25837, 518839, 32635, 149566, 1497895, 16484, 46, 46, NA, 2350834,  a*
8, 9.3, 3254, 771, 1220329, 772558, 31602, 252730, 165282, 439866, 64, 22, NA, 2886392,  a*
9, 10.3, 226225, 315972, 1161464, 751249, 381126, 56202, 630493, 422201, 78, 70, NA, 3944932,  a*
10, 11.4, 11986, 45672, 437050, 5155, 154903, 164129, 39600, 1100575, 74, 71, NA, 1959070,  a*
11, 12.4, 52817, 370952, 537628, 5322, 15496, 226964, 74277, 32078, 46, 68, NA, 1315534,  a*
12, 13.5, 45576, 468465, 13024, 893169, 279008, 5166, 15447, 25418, 19, 82, NA, 1745273,  a*
13, 14.5, 16223, 73365, 108290, 224098, 54975, 980323, 82319, 187860, 79, 60, NA, 1727453,  a*
14, 15.5, 119920, 29566, 213010, 74700, 420, 6244, 13641, 428608, 56, 48, NA, 886109,  a*
15, 16.6, 1036368, 99301, 119, 118522, 278534, 630, 136379, 51567, 45, 75, NA, 1721420,  a*
16, 17.6, 1017536, 238178, 384576, 1015109, 9661, 19128, 1505748, 149177, 28, 48, NA, 4339113,  a*
17, 18.6, 850451, 115582, 681801, 1168198, 413, 536421, 6074, 203, 97, 28, NA, 3359143,  a*
18, 19.7, 1408521, 1137, 402584, 282657, 295389, 554656, 1339843, 320338, 13, 71, NA, 4605125,  a*
19, 20.7, 205541, 9007, 29773, 30143, 113552, 8800, 117, 189584, 79, 3, NA, 586517,  a*
20, 21.7, 308123, 305456, 83015, 120886, 161418, 40241, 3829, 539091, 21, 88, NA, 1562059,  a*
21, 22.8, 152087, 476028, 190316, 160410, 3489, 1229450, 245934, 493342, 80, 40, NA, 2951056,  a*
22, 23.8, 507887, 76720, 315336, 2402068, 360563, 76037, 122142, 572649, 2, 87, NA, 4433402,  a*
23, 24.9, 281335, 62513, 547, 184479, 1448621, 6394, 181984, 255, 90, 51, NA, 2166128,  a*
24, 25.9, 385526, 335429, 282729, 149512, 610421, 53940, 375948, 32598, 66, 51, NA, 2226103,  a*
25, 26.9, 129832, 616546, 6856, 339476, 102055, 13370, 238938, 322839, 59, 13, NA, 1769912,  a*
26, 28.0, 591059, 2137940, 65748, 706603, 9654, 504513, 454378, 425876, 67, 47, NA, 4895771,  a*
27, 29.0, 245589, 17411, 107404, 388904, 229801, 229074, 1165133, 603082, 27, 84, NA, 2986398,  a*
28, 30.1, 265500, 1, 9397, 221773, 24263, 185345, 96862, 191468, 42, 48, NA, 994609,  a*
29, 31.1, 2730609, 24398, 341352, 156899, 629866, 392455, 32398, 69368, 92, 2, NA, 4377345,  a*
30, 32.1, 48558, 774976, 107210, 10919, 307312, 211963, 2, 773024, 65, 98, NA, 2233964,  a*
31, 33.2, 48664, 569859, 4101, 23856, 92918, 27726, 39891, 33947, 26, 4, NA, 840962,  a*
