obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 48889, 255620, 12165, 2023601, 24406, 115707, 786043, 125361, 87, 62, NA, 3391792,  6
2, 3.0, 295134, 50464, 2470, 988218, 100607, 70571, 469565, 14415, 53, 84, NA, 1991444,  6
3, 4.0, 176574, 1037444, 128341, 1125, 41938, 1840960, 26085, 173499, 17, 27, NA, 3425966,  6
4, 5.0, 20253, 81670, 1044720, 2388137, 1909, 258286, 62191, 575888, 32, 15, NA, 4433054,  6
5, 6.0, 458161, 1638, 597, 44855, 34398, 13162, 732818, 215941, 26, 8, NA, 1501570,  6
6, 7.1, 339528, 64677, 919, 162683, 56236, 135151, 122337, 21146, 70, 42, NA, 902677,  6
7, 8.1, 347952, 19966, 154825, 40522, 122613, 65205, 240512, 901861, 86, 64, NA, 1893456,  6
8, 9.1, 16610, 266887, 28183, 203591, 835, 3702, 41298, 121339, 22, 11, NA, 682445,  6
9, 10.1, 964827, 70330, 376464, 242876, 34979, 152553, 102740, 133254, 94, 17, NA, 2078023,  6
10, 11.1, 3567, 65547, 461515, 89, 41564, 152635, 13823, 1767, 4, 19, NA, 740507,  6
11, 12.1, 259616, 685224, 444302, 74546, 132712, 233343, 50617, 140842, 15, 17, NA, 2021202,  6
12, 13.1, 447907, 73381, 239982, 1117, 162388, 6491, 139502, 17530, 18, 31, NA, 1088298,  6
13, 14.1, 1580075, 36761, 1779085, 27538, 1243853, 110220, 146996, 324844, 56, 33, NA, 5249372,  6
14, 15.2, 71914, 365934, 54758, 88758, 403769, 184782, 1692, 140717, 28, 84, NA, 1312324,  6
15, 16.2, 765314, 235323, 21282, 29021, 113111, 19168, 1557189, 139294, 66, 29, NA, 2879702,  6
16, 17.2, 75933, 204895, 38672, 483, 74043, 245655, 459779, 248866, 63, 87, NA, 1348326,  6
17, 18.2, 11535, 159331, 356073, 5626, 126971, 13049, 149991, 76789, 63, 42, NA, 899365,  6
18, 19.2, 446284, 6136, 436065, 39885, 1388697, 126565, 22605, 1484622, 89, 13, NA, 3950859,  6
19, 20.2, 591948, 31509, 9579, 762305, 526406, 198099, 391145, 315106, 36, 76, NA, 2826097,  6
20, 21.2, 1112305, 252492, 768970, 24638, 781670, 192411, 3753, 637485, 72, 76, NA, 3773724,  6
21, 22.2, 54151, 522370, 19124, 4035, 1087461, 20141, 259577, 1377218, 8, 21, NA, 3344077,  6
22, 23.3, 1490064, 289865, 84439, 115901, 75817, 7757, 1402118, 12985, 98, 58, NA, 3478946,  6
23, 24.3, 469745, 4496, 3016, 3778, 55176, 622555, 131921, 155648, 64, 52, NA, 1446335,  6
24, 25.3, 964495, 21445, 20634, 229546, 18183, 24157, 25115, 361, 95, 74, NA, 1303936,  6
25, 26.3, 149754, 586371, 464, 775116, 6201, 264293, 28169, 6945, 39, 80, NA, 1817313,  6
26, 27.3, 558551, 260441, 205681, 193870, 30557, 255941, 53359, 188966, 69, 55, NA, 1747366,  6
27, 28.3, 11374, 302399, 940324, 49811, 15940, 108247, 20435, 61675, 39, 7, NA, 1510205,  6
28, 29.3, 551295, 123972, 144861, 17286, 12131, 846881, 359746, 383643, 72, 41, NA, 2439815,  6
29, 30.3, 10612, 161868, 615308, 462932, 18065, 33497, 114569, 70261, 41, 39, NA, 1487112,  6
30, 31.4, 958155, 542315, 18849, 11186, 153145, 25284, 646217, 510340, 46, 86, NA, 2865491,  6
31, 32.4, 536147, 24333, 332252, 414828, 57743, 131974, 308543, 322603, 55, 37, NA, 2128423,  6
32, 33.4, 1514139, 42909, 87166, 94601, 289, 52, 362033, 17, 30, 71, NA, 2101206,  6
33, 34.4, 418323, 13686, 24684, 208809, 370045, 701684, 18205, 16, 13, 65, NA, 1755452,  6
34, 35.4, 22646, 1571688, 534229, 302221, 79470, 774443, 4866, 94796, 46, 73, NA, 3384359,  6
35, 36.4, 11, 97567, 748, 204378, 183835, 1121, 20468, 480924, 4, 9, NA, 989052,  6
36, 37.4, 43407, 57603, 141, 843958, 501590, 12321, 32738, 100, 45, 63, NA, 1491858,  6
37, 38.4, 32061, 585, 943893, 150134, 1339646, 259667, 26292, 54964, 90, 89, NA, 2807242,  6
38, 39.5, 19, 381274, 226182, 123554, 658503, 556984, 311796, 237181, 51, 1, NA, 2495493,  6
39, 40.5, 489728, 477963, 590499, 759, 238228, 372362, 409789, 360189, 66, 95, NA, 2939517,  6
40, 41.5, 306498, 27537, 434631, 417074, 98958, 190419, 55356, 2289, 8, 22, NA, 1532762,  6
41, 42.5, 235627, 428407, 307170, 274800, 81, 192260, 3126, 807819, 32, 67, NA, 2249290,  6
42, 43.5, 87178, 111900, 770737, 364, 165822, 34427, 12596, 475, 59, 2, NA, 1183499,  6
43, 44.5, 430741, 539184, 31639, 12164, 206842, 38414, 143976, 100869, 83, 18, NA, 1503829,  6
44, 45.5, 1001, 552808, 891, 395904, 220785, 450744, 1024, 94013, 20, 54, NA, 1717170,  6
45, 46.5, 5716, 1438308, 206032, 206454, 129410, 540161, 22030, 158885, 3, 63, NA, 2706996,  6
46, 47.5, 261196, 68410, 723736, 103839, 1419, 285947, 107042, 49072, 57, 85, NA, 1600661,  6
47, 48.5, 719207, 113299, 207609, 96681, 623817, 107157, 16820, 15570, 54, 100, NA, 1900160,  6
48, 49.6, 10382, 219167, 41541, 29745, 1191918, 74657, 638053, 379898, 1, 18, NA, 2585361,  6
49, 50.6, 84268, 184618, 324718, 37914, 931517, 1287416, 16798, 71949, 42, 3, NA, 2939198,  6
50, 51.6, 425410, 909205, 43427, 183565, 1877126, 365, 81585, 518263, 87, 49, NA, 4038946,  6
51, 52.6, 30364, 873160, 15758, 9540, 285434, 185202, 275730, 472570, 73, 62, NA, 2147758,  6
52, 53.6, 3834, 714737, 87010, 12463, 2497781, 23746, 536008, 177644, 20, 88, NA, 4053223,  6
53, 54.6, 69383, 340766, 61482, 134653, 231573, 718850, 571237, 657394, 84, 81, NA, 2785338,  6
54, 55.6, 434631, 446271, 28486, 33298, 111403, 49050, 258715, 200174, 40, 40, NA, 1562028,  6
55, 56.6, 1310208, 230105, 12075, 3885, 803974, 199035, 1869, 556703, 7, 5, NA, 3117854,  6
56, 57.6, 188224, 568241, 607167, 335956, 156684, 316902, 82821, 75887, 73, 17, NA, 2331882,  6
57, 58.6, 442469, 176599, 13511, 1749409, 367982, 13060, 71664, 255746, 85, 65, NA, 3090440,  6
58, 59.6, 2628470, 94428, 55818, 86199, 180816, 137965, 1029167, 100610, 55, 97, NA, 4313473,  6
59, 60.6, 161280, 171524, 721383, 115009, 360906, 65145, 1931677, 146599, 92, 94, NA, 3673523,  6
60, 61.6, 85918, 45461, 577529, 221825, 364900, 104063, 9370, 377696, 62, 23, NA, 1786762,  6
61, 62.6, 1250607, 181964, 184411, 4314, 247329, 63095, 341954, 46192, 32, 86, NA, 2319866,  6
62, 63.6, 9322, 601310, 22853, 81802, 392371, 1638317, 712289, 345430, 84, 28, NA, 3803694,  6
63, 64.6, 547682, 15825, 262393, 154841, 81, 138957, 901568, 11, 14, 9, NA, 2021358,  6
64, 65.6, 9125, 159721, 387570, 454961, 26457, 1801230, 141053, 176125, 47, 59, NA, 3156242,  6
65, 66.6, 56425, 491022, 203446, 1350715, 23984, 173292, 85567, 413457, 42, 15, NA, 2797908,  6
66, 67.6, 334347, 245095, 187487, 147742, 19624, 81304, 21363, 312352, 62, 31, NA, 1349314,  6
67, 68.6, 127596, 214519, 69822, 31805, 235084, 125088, 1025645, 158069, 5, 75, NA, 1987628,  6
68, 69.6, 918028, 56172, 7358, 111721, 48449, 708818, 4469, 2324, 39, 26, NA, 1857339,  6
69, 70.6, 1756, 1038127, 102458, 584167, 1711472, 347790, 930, 435751, 44, 35, NA, 4222451,  6
70, 71.6, 196229, 70398, 22, 245600, 34091, 269219, 74873, 6578, 28, 55, NA, 897010,  6
71, 72.6, 89728, 370005, 951245, 247658, 1631814, 1599604, 13458, 204162, 25, 8, NA, 5107674,  6
72, 73.6, 181320, 70666, 197, 275254, 4505, 58469, 1071, 592830, 8, 53, NA, 1184312,  6
73, 74.6, 38810, 551318, 53625, 31427, 18, 11826, 259160, 58962, 4, 89, NA, 1005146,  6
74, 75.6, 19427, 164272, 637951, 134093, 229479, 469078, 61932, 279, 74, 40, NA, 1716511,  6
75, 76.6, 44037, 904238, 204827, 205049, 110871, 40811, 145178, 366164, 14, 63, NA, 2021175,  6
76, 77.6, 22648, 224745, 2057096, 136459, 2482, 1925020, 309, 264546, 22, 72, NA, 4633305,  6
77, 78.6, 57430, 825775, 742765, 77451, 1756, 3947, 282537, 77884, 70, 27, NA, 2069545,  6
78, 79.6, 29411, 90152, 917143, 174380, 874759, 35268, 610684, 171526, 67, 22, NA, 2903323,  6
79, 80.6, 71353, 152086, 1908, 117019, 85285, 15188, 35572, 80129, 64, 14, NA, 558540,  6
80, 81.6, 517133, 44913, 243120, 1001342, 110962, 374686, 78865, 148017, 99, 14, NA, 2519038,  6
81, 82.6, 1681, 435894, 224080, 240952, 301875, 456847, 16618, 6730, 24, 43, NA, 1684677,  6
82, 83.6, 5080, 657261, 610385, 481738, 354528, 135635, 284747, 149565, 87, 27, NA, 2678939,  6
83, 84.6, 99588, 107861, 1765, 3282, 585673, 7531, 1033896, 5166, 21, 100, NA, 1844762,  6
