obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 180189, 521866, 832469, 50971, 3888, 112782, 39185, 530385, 91, 77, NA, 2271735,  4
2, 3.0, 26838, 366793, 272384, 282871, 673829, 201300, 1301, 374014, 4, 33, NA, 2199330,  4
3, 4.0, 387871, 302, 1198, 399647, 33306, 61431, 118005, 47822, 32, 45, NA, 1049582,  4
4, 5.0, 60267, 705048, 66365, 573790, 990693, 249523, 499, 1545, 94, 30, NA, 2647730,  4
5, 6.0, 24462, 2217, 705684, 192297, 36133, 133075, 2372, 44968, 91, 15, NA, 1141208,  4
6, 7.1, 48691, 48784, 879934, 2877, 637928, 561718, 303914, 15, 13, 88, NA, 2483861,  4
7, 8.1, 54135, 486, 282145, 423566, 52356, 394714, 25408, 578572, 96, 42, NA, 1811382,  4
8, 9.1, 327850, 269136, 155138, 18177, 357181, 957937, 34071, 521897, 13, 61, NA, 2641387,  4
9, 10.1, 33301, 146216, 424585, 878819, 4011, 5093, 198058, 78424, 4, 97, NA, 1768507,  4
10, 11.1, 4298, 126380, 97934, 370542, 81596, 464484, 295034, 849, 34, 91, NA, 1441117,  4
11, 12.1, 35641, 362518, 1099671, 118096, 337586, 495094, 59129, 18554, 76, 61, NA, 2526289,  4
12, 13.1, 88483, 233004, 1106871, 155215, 211039, 350084, 250421, 10273, 37, 1, NA, 2405390,  4
13, 14.1, 10158, 32914, 378736, 180645, 2256256, 253042, 474871, 71456, 71, 100, NA, 3658078,  4
14, 15.2, 209140, 76890, 6137, 431296, 488320, 1200125, 33698, 46566, 47, 66, NA, 2492172,  4
15, 16.2, 813364, 187, 220015, 58750, 482576, 12888, 8188, 139276, 88, 58, NA, 1735244,  4
16, 17.2, 1173240, 239016, 312697, 21278, 302619, 478732, 43107, 563327, 91, 94, NA, 3134016,  4
17, 18.2, 957782, 255730, 397026, 252941, 499996, 89349, 4382, 424760, 74, 75, NA, 2881966,  4
18, 19.2, 460708, 510510, 301059, 268044, 13671, 11238, 782350, 58219, 76, 19, NA, 2405799,  4
19, 20.2, 19334, 249178, 418696, 801, 142099, 393485, 11846, 38682, 94, 54, NA, 1274121,  4
20, 21.2, 3863, 16916, 44638, 524953, 209047, 206221, 773182, 744330, 33, 92, NA, 2523150,  4
21, 22.2, 296214, 12, 96616, 199508, 37765, 41274, 33729, 20117, 84, 23, NA, 725235,  4
22, 23.2, 54740, 296906, 155015, 95124, 498500, 11951, 81675, 75272, 10, 78, NA, 1269183,  4
23, 24.3, 271258, 24643, 11665, 156815, 23186, 592367, 79, 60191, 65, 91, NA, 1140204,  4
24, 25.3, 644872, 255392, 236385, 5516, 693841, 212189, 18561, 227927, 40, 10, NA, 2294683,  4
25, 26.3, 503217, 6245, 210, 1011652, 47525, 319999, 31995, 55080, 58, 31, NA, 1975923,  4
26, 27.3, 5411, 627663, 44595, 24746, 404220, 4570, 241401, 239307, 64, 44, NA, 1591913,  4
27, 28.3, 525140, 42837, 1325878, 79657, 395761, 30485, 284619, 744537, 25, 89, NA, 3428914,  4
28, 29.3, 135781, 91730, 97761, 151687, 114, 9112, 376341, 27343, 44, 78, NA, 889869,  4
29, 30.3, 487, 43, 10262, 292244, 257069, 63449, 302, 2470189, 39, 42, NA, 3094045,  4
30, 31.3, 90057, 41229, 64961, 1075791, 1062637, 1322334, 1247, 54090, 71, 25, NA, 3712346,  4
31, 32.4, 453916, 23291, 80218, 188461, 104035, 9507, 515439, 38619, 62, 15, NA, 1413486,  4
32, 33.4, 2809, 9886, 610581, 10194, 305586, 2891, 1140915, 137563, 27, 10, NA, 2220425,  4
33, 34.4, 211529, 476685, 429112, 241071, 6210, 43934, 801842, 90683, 72, 23, NA, 2301066,  4
34, 35.4, 9096, 2936, 287915, 1682770, 18727, 14529, 897266, 472700, 36, 32, NA, 3385939,  4
35, 36.4, 12219, 60851, 32313, 350178, 39503, 32804, 27609, 219313, 85, 85, NA, 774790,  4
36, 37.4, 1087231, 209815, 21244, 1413571, 2164, 32176, 399021, 126997, 88, 75, NA, 3292219,  4
37, 38.4, 135006, 742230, 1256070, 118525, 20103, 361688, 440700, 30341, 100, 13, NA, 3104663,  4
38, 39.4, 29, 814461, 521117, 320700, 82395, 11656, 254792, 151731, 56, 38, NA, 2156881,  4
39, 40.5, 127562, 266936, 10632, 273110, 400608, 1017400, 409739, 17533, 46, 88, NA, 2523520,  4
40, 41.5, 422522, 1323430, 475057, 184051, 387, 847428, 308, 31336, 66, 74, NA, 3284519,  4
