obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 45115, 9190, 46077, 514805, 146847, 1569831, 30926, 1267329, 74, 17, NA, 3630120,  X
2, 3.0, 15672, 285605, 198363, 174334, 661, 70240, 5893, 465785, 39, 33, NA, 1216553,  X
3, 4.0, 194344, 502573, 631472, 255963, 1929866, 43179, 1126924, 405268, 87, 27, NA, 5089589,  X
4, 5.0, 1167879, 83871, 946548, 712711, 122207, 2, 81485, 632635, 10, 47, NA, 3747338,  X
5, 6.1, 113424, 944447, 7041, 74910, 204818, 343040, 587416, 792770, 21, 21, NA, 3067866,  X
6, 7.1, 231291, 34330, 17731, 651, 8133, 553502, 56700, 82612, 84, 16, NA, 984950,  X
7, 8.1, 189522, 456908, 103208, 77579, 254678, 749316, 74180, 271400, 17, 27, NA, 2176791,  X
8, 9.1, 585004, 2164, 279689, 800009, 3451, 5244, 13009, 19239, 1, 28, NA, 1707809,  X
9, 10.1, 123546, 42687, 510652, 252545, 603, 1009816, 107830, 270890, 56, 4, NA, 2318569,  X
10, 11.1, 440149, 686547, 37052, 367673, 9744, 940124, 625340, 217470, 40, 82, NA, 3324099,  X
11, 12.1, 294426, 100781, 534526, 2870657, 3442, 197471, 22831, 20317, 73, 37, NA, 4044451,  X
12, 13.1, 97, 575146, 179537, 249697, 60862, 463122, 356962, 234882, 81, 28, NA, 2120305,  X
13, 14.2, 250362, 383994, 145488, 14247, 236285, 64538, 15304, 1472173, 24, 41, NA, 2582391,  X
14, 15.2, 92768, 132320, 25594, 17116, 222147, 33553, 2153994, 532220, 74, 100, NA, 3209712,  X
15, 16.2, 1180120, 1779, 398779, 91800, 24640, 3196806, 657742, 394252, 91, 39, NA, 5945918,  X
16, 17.2, 20489, 61884, 123891, 101861, 456638, 66187, 93060, 237969, 21, 91, NA, 1161979,  X
17, 18.2, 9655, 679484, 772912, 186294, 1341813, 43438, 107626, 307231, 93, 19, NA, 3448453,  X
18, 19.2, 45636, 110572, 430826, 6606, 74, 134705, 1423755, 31859, 70, 39, NA, 2184033,  X
19, 20.2, 169716, 187264, 18274, 51417, 164, 372382, 5290, 1515, 88, 75, NA, 806022,  X
20, 21.3, 72809, 555358, 725670, 112113, 297558, 435703, 296385, 5285, 69, 36, NA, 2500881,  X
21, 22.3, 37271, 319392, 814619, 201312, 1312337, 417385, 114415, 435904, 19, 15, NA, 3652635,  X
22, 23.3, 982687, 344033, 570643, 33490, 212219, 95127, 4471, 24862, 14, 76, NA, 2267532,  X
23, 24.3, 92584, 398298, 233172, 197928, 118558, 11624, 640250, 926928, 96, 33, NA, 2619342,  X
24, 25.3, 2885839, 22320, 267515, 1486, 62648, 7367, 18940, 9342, 68, 14, NA, 3275457,  X
25, 26.3, 122274, 44907, 917585, 75783, 600354, 751057, 573543, 20961, 97, 90, NA, 3106464,  X
26, 27.3, 63737, 29232, 61752, 104534, 604187, 121245, 957726, 19, 65, 59, NA, 1942432,  X
27, 28.3, 530425, 895385, 41729, 103064, 52112, 1682, 8170, 42220, 69, 43, NA, 1674787,  X
28, 29.4, 236712, 451, 66135, 2704, 1141014, 63297, 2409, 830, 59, 69, NA, 1513552,  X
29, 30.4, 150482, 924611, 6316, 295592, 77054, 3122, 8135, 1670, 65, 54, NA, 1466982,  X
30, 31.4, 63770, 88287, 101, 36606, 71077, 264254, 93755, 32195, 39, 55, NA, 650045,  X
31, 32.4, 501175, 798367, 50308, 453133, 61549, 34672, 98958, 607262, 82, 68, NA, 2605424,  X
32, 33.4, 738382, 712348, 80435, 64817, 653, 16435, 89616, 29267, 36, 2, NA, 1731953,  X
33, 34.4, 418568, 2940012, 313487, 2, 11263, 11849, 1123, 1690513, 54, 66, NA, 5386817,  X
34, 35.4, 2222, 2129, 457547, 2518, 215726, 199895, 23249, 591538, 88, 47, NA, 1494824,  X
35, 36.4, 65246, 350260, 160976, 804242, 778738, 58022, 126998, 24975, 18, 85, NA, 2369457,  X
36, 37.5, 686440, 74824, 61874, 52021, 89366, 434821, 139021, 79093, 60, 95, NA, 1617460,  X
