obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 18561, 14112, 1474265, 741, 1738670, 17805, 22827, 205212, 80, 41, NA, 3492193,  X
2, 3.1, 114509, 24101, 227784, 12485, 98115, 903518, 2504678, 93479, 49, 20, NA, 3978669,  X
3, 4.1, 447097, 394588, 761456, 125016, 486909, 499661, 1287321, 137556, 2, 85, NA, 4139604,  X
4, 5.2, 562503, 909548, 12870, 47528, 274490, 22916, 489022, 3593, 60, 39, NA, 2322470,  X
5, 6.2, 2310, 336018, 950806, 134334, 251649, 8629, 1219454, 1516, 5, 65, NA, 2904716,  X
6, 7.2, 11778, 1961, 44892, 67581, 830, 306455, 135006, 1573241, 75, 99, NA, 2141744,  X
7, 8.3, 195229, 36887, 21330, 438745, 269137, 442244, 965798, 1125200, 52, 75, NA, 3494570,  X
8, 9.3, 85691, 395696, 19545, 625091, 83284, 58157, 537216, 266244, 60, 45, NA, 2070924,  X
9, 10.3, 36300, 11356, 1669484, 439011, 6767, 531265, 75692, 1411950, 66, 34, NA, 4181825,  X
10, 11.3, 96268, 107774, 116586, 465175, 47250, 234130, 39665, 146873, 97, 63, NA, 1253721,  X
11, 12.4, 9602, 30435, 416332, 824070, 10355, 276421, 17899, 1294858, 93, 31, NA, 2879972,  X
12, 13.4, 1717, 1224211, 456640, 41869, 267250, 81269, 60883, 81444, 46, 61, NA, 2215283,  X
13, 14.5, 11614, 631460, 162328, 212632, 635775, 155627, 149251, 302886, 95, 46, NA, 2261573,  X
14, 15.5, 241566, 0, 19603, 16098, 1174883, 3046, 23871, 1959, 35, 55, NA, 1481026,  X
15, 16.6, 994072, 574731, 477779, 1406, 140903, 494495, 332515, 7814, 93, 33, NA, 3023715,  X
16, 17.6, 9306, 147914, 399064, 431, 1910, 25418, 19225, 97176, 25, 10, NA, 700444,  X
17, 18.7, 1033072, 361236, 81383, 196179, 296523, 64547, 25993, 325800, 72, 89, NA, 2384733,  X
18, 19.7, 115163, 358562, 81863, 359262, 96111, 33772, 244036, 132731, 90, 61, NA, 1421500,  X
19, 20.7, 545836, 139700, 10938, 913924, 12505, 739, 23514, 462714, 21, 91, NA, 2109870,  X
20, 21.7, 17744, 28930, 543815, 1683789, 398012, 278157, 658949, 71153, 6, 37, NA, 3680549,  X
21, 22.8, 351746, 575, 35344, 335726, 37673, 253227, 194603, 963503, 92, 45, NA, 2172397,  X
22, 23.8, 312384, 488838, 975016, 79968, 16059, 24818, 71974, 12858, 2, 61, NA, 1981915,  X
23, 24.9, 10219, 67045, 120677, 15729, 227390, 59360, 77192, 150071, 35, 83, NA, 727683,  X
24, 25.9, 49328, 432385, 164865, 60, 190718, 36217, 498909, 260995, 25, 76, NA, 1633477,  X
25, 27.0, 214104, 348440, 7185, 50908, 685798, 513396, 320321, 186824, 96, 4, NA, 2326976,  X
26, 28.0, 1184683, 208825, 54818, 208539, 260834, 95, 26551, 30330, 65, 73, NA, 1974675,  X
27, 29.1, 660856, 888387, 145206, 339475, 54683, 151782, 94158, 99346, 47, 4, NA, 2433893,  X
28, 30.1, 142635, 125126, 38374, 709189, 88980, 13, 162178, 0, 30, 15, NA, 1266495,  X
29, 31.1, 2341237, 1889, 99748, 28261, 153280, 4447, 866960, 203594, 37, 59, NA, 3699416,  X
30, 32.2, 482209, 209250, 58436, 96913, 443333, 199288, 68365, 153835, 13, 24, NA, 1711629,  X
31, 33.2, 1464393, 12754, 295621, 87303, 1397692, 71985, 103771, 757686, 49, 37, NA, 4191205,  X
32, 34.3, 318206, 63193, 580660, 68501, 154576, 2752, 199113, 51433, 74, 60, NA, 1438434,  X
33, 35.3, 1428, 571495, 2013, 598814, 21521, 1255578, 71356, 112897, 54, 55, NA, 2635102,  X
