obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 136408, 78465, 1083470, 269, 36188, 988675, 649599, 232370, 3, 15, NA, 3205444,  3
2, 3.0, 252051, 491739, 921840, 587576, 295109, 16978, 78410, 5364, 37, 90, NA, 2649067,  3
3, 4.0, 19619, 519808, 826442, 6655, 118150, 666346, 308993, 323073, 68, 77, NA, 2789086,  3
4, 5.0, 117122, 174170, 179, 912649, 813762, 1634134, 238583, 436876, 99, 10, NA, 4327475,  3
5, 6.1, 65632, 91950, 359000, 744, 320565, 123455, 321482, 120714, 66, 13, NA, 1403542,  3
6, 7.1, 218183, 25050, 1566, 424503, 77178, 36273, 764961, 6043, 94, 56, NA, 1553757,  3
7, 8.1, 1336846, 34284, 379838, 47264, 3845, 61745, 48588, 951478, 100, 21, NA, 2863888,  3
8, 9.1, 843632, 1112980, 60151, 167361, 690703, 3329, 55052, 159750, 74, 94, NA, 3092958,  3
9, 10.1, 653608, 146069, 33055, 60742, 35780, 85, 13258, 144175, 32, 26, NA, 1086772,  3
10, 11.1, 272369, 114103, 782673, 2528, 2171, 572750, 287467, 5149, 9, 16, NA, 2039210,  3
11, 12.1, 318265, 381660, 607038, 32547, 211134, 486, 2149, 87, 81, 87, NA, 1553366,  3
12, 13.1, 11668, 104, 1839, 190718, 41248, 421, 774, 13503, 67, 99, NA, 260275,  3
13, 14.1, 1328031, 165664, 141341, 339305, 76423, 716398, 577505, 28638, 13, 11, NA, 3373305,  3
14, 15.2, 608, 308720, 61, 2423, 485352, 263675, 271722, 618430, 42, 1, NA, 1950991,  3
15, 16.2, 30, 6328, 28200, 368841, 31641, 76262, 152468, 76873, 3, 66, NA, 740643,  3
16, 17.2, 23690, 19444, 131026, 107890, 231952, 7184, 19722, 64026, 81, 63, NA, 604934,  3
17, 18.2, 14469, 1039863, 226638, 73864, 877140, 281276, 1476628, 892102, 15, 46, NA, 4881980,  3
18, 19.2, 979737, 80495, 31668, 140294, 89421, 53239, 2002139, 1548875, 40, 100, NA, 4925868,  3
19, 20.2, 16369, 37, 6158, 153607, 147811, 6080, 100721, 960415, 72, 55, NA, 1391198,  3
20, 21.2, 426, 36448, 455818, 435366, 41502, 59841, 805476, 450293, 10, 68, NA, 2285170,  3
21, 22.2, 1013980, 1569209, 1027303, 157, 267648, 137827, 649126, 840, 35, 39, NA, 4666090,  3
22, 23.3, 83753, 63, 171231, 418205, 319176, 1740, 233684, 20270, 10, 52, NA, 1248122,  3
23, 24.3, 328785, 5136, 48393, 6365, 208268, 503467, 18892, 48120, 42, 96, NA, 1167426,  3
24, 25.3, 173595, 255370, 36036, 54237, 39942, 16976, 198783, 32446, 6, 18, NA, 807385,  3
25, 26.3, 301117, 190286, 3657, 76882, 102965, 64575, 978, 793812, 89, 45, NA, 1534272,  3
26, 27.3, 64575, 182547, 1050875, 207886, 22534, 189928, 29256, 255869, 51, 10, NA, 2003470,  3
27, 28.3, 10324, 39843, 134, 1148436, 1458196, 738228, 1428, 46307, 55, 78, NA, 3442896,  3
28, 29.3, 470768, 1053964, 175803, 566723, 35350, 328527, 34262, 3668, 72, 36, NA, 2669065,  3
29, 30.3, 148761, 610715, 369824, 265777, 631, 189802, 59806, 5485, 83, 25, NA, 1650801,  3
30, 31.4, 40839, 49730, 166850, 171160, 579148, 37600, 535813, 26553, 51, 73, NA, 1607693,  3
31, 32.4, 505028, 1284157, 107135, 32498, 544101, 35735, 549959, 862104, 21, 1, NA, 3920717,  3
32, 33.4, 243540, 1038925, 138177, 295603, 23923, 5947, 6863, 500402, 45, 10, NA, 2253380,  3
33, 34.4, 926293, 135082, 556490, 570629, 71672, 668613, 67665, 418505, 5, 65, NA, 3414949,  3
34, 35.4, 319350, 147548, 186518, 72209, 294335, 3762, 971095, 370974, 62, 4, NA, 2365791,  3
35, 36.4, 268159, 10380, 360048, 598311, 47438, 1145367, 318439, 66347, 69, 22, NA, 2814489,  3
36, 37.4, 14150, 221337, 206572, 35, 461556, 77476, 430629, 142468, 33, 92, NA, 1554223,  3
37, 38.4, 4948, 1178069, 5342, 242460, 79211, 2696, 277303, 253322, 74, 64, NA, 2043351,  3
38, 39.5, 29240, 256181, 409027, 21988, 301656, 30504, 4036, 3288, 95, 15, NA, 1055920,  3
39, 40.5, 618863, 527723, 133056, 37445, 141909, 180164, 140603, 17028, 89, 29, NA, 1796791,  3
40, 41.5, 469440, 19189, 329280, 725250, 655313, 63286, 160669, 687439, 4, 13, NA, 3109866,  3
41, 42.5, 251835, 737186, 201268, 39342, 309905, 296158, 173477, 126656, 56, 75, NA, 2135827,  3
42, 43.5, 25569, 551592, 62721, 185348, 34803, 221558, 176, 699701, 81, 22, NA, 1781468,  3
