obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 214817, 34742, 266236, 154530, 314, 846449, 70689, 93616, 98, 67, NA, 1681393,  X
2, 3.1, 19335, 887959, 581767, 65484, 203155, 827574, 250828, 4526, 23, 72, NA, 2840628,  X
3, 4.1, 854952, 299204, 96996, 151085, 16000, 295256, 236925, 309831, 11, 85, NA, 2260249,  X
4, 5.1, 82560, 115432, 40009, 710424, 6749, 6673, 696, 521020, 70, 70, NA, 1483563,  X
5, 6.1, 136276, 204052, 304683, 12371, 14137, 13895, 85818, 838093, 9, 61, NA, 1609325,  X
6, 7.1, 353879, 606516, 2230, 668750, 668547, 208102, 3170, 73629, 15, 5, NA, 2584823,  X
7, 8.1, 291360, 98902, 131489, 1080232, 310522, 578956, 12434, 54982, 31, 3, NA, 2558877,  X
8, 9.1, 23169, 117063, 314922, 68699, 64902, 1273761, 388954, 180007, 74, 96, NA, 2431477,  X
9, 10.1, 62859, 110762, 170, 281698, 107119, 7311, 618374, 112619, 22, 62, NA, 1300912,  X
10, 11.1, 2137, 83776, 85, 224676, 665256, 50179, 1607012, 10638, 23, 39, NA, 2643759,  X
11, 12.2, 60487, 19145, 59321, 595880, 227665, 1034034, 27130, 2726, 43, 25, NA, 2026388,  X
12, 13.2, 277167, 428750, 196396, 214771, 1093, 15004, 471584, 1629, 99, 78, NA, 1606394,  X
13, 14.2, 202919, 46769, 594968, 18, 265762, 373352, 2860, 171373, 81, 31, NA, 1658021,  X
14, 15.2, 343512, 15368, 102055, 17156, 7, 513503, 61845, 1326712, 79, 69, NA, 2380158,  X
15, 16.2, 475226, 295558, 1012597, 199155, 146551, 78237, 170717, 239515, 70, 62, NA, 2617556,  X
16, 17.2, 336261, 918926, 7014, 168700, 82165, 536382, 33413, 183460, 15, 7, NA, 2266321,  X
17, 18.2, 10187, 22420, 19572, 69119, 364664, 118453, 1078351, 243, 75, 6, NA, 1683009,  X
18, 19.2, 421241, 166790, 627181, 130740, 5318, 239192, 39931, 1446, 91, 16, NA, 1631839,  X
19, 20.2, 146339, 1905023, 669692, 82057, 229384, 128187, 172505, 190103, 26, 91, NA, 3523290,  X
20, 21.2, 3351, 341065, 562878, 41789, 39745, 114870, 681178, 502860, 5, 16, NA, 2287736,  X
21, 22.2, 2686869, 1842, 393745, 829888, 5000, 271153, 302, 96443, 19, 40, NA, 4285242,  X
22, 23.2, 1174, 794581, 4429, 6463, 303250, 73420, 36497, 38060, 68, 50, NA, 1257874,  X
23, 24.3, 12987, 118819, 36350, 219899, 232303, 14537, 423743, 87111, 89, 2, NA, 1145749,  X
24, 25.3, 66048, 3528, 135009, 12258, 55043, 159616, 39651, 540650, 64, 91, NA, 1011803,  X
25, 26.3, 274092, 96761, 1993316, 40710, 85437, 88, 71832, 2940385, 65, 39, NA, 5502621,  X
26, 27.3, 16053, 1078687, 323818, 436871, 268769, 4989, 30364, 2431, 65, 100, NA, 2161982,  X
27, 28.3, 790910, 50727, 50148, 436888, 1424446, 35174, 223426, 103598, 46, 18, NA, 3115317,  X
28, 29.3, 55552, 417296, 268746, 343206, 104480, 38457, 8649, 6512, 8, 49, NA, 1242898,  X
29, 30.3, 983021, 307, 181972, 223999, 796601, 5790, 87090, 293177, 78, 53, NA, 2571957,  X
30, 31.3, 20769, 81398, 33650, 340, 841693, 171135, 356316, 386258, 81, 78, NA, 1891559,  X
31, 32.3, 334957, 568460, 286532, 147438, 454901, 247952, 82560, 879987, 49, 12, NA, 3002787,  X
32, 33.3, 207893, 122432, 2011139, 11657, 9595, 477038, 6497, 326150, 29, 97, NA, 3172401,  X
33, 34.3, 995759, 66046, 1368, 10462, 645965, 7448, 205121, 34489, 7, 4, NA, 1966658,  X
34, 35.3, 24421, 70467, 1302136, 346003, 2321240, 930, 24221, 47266, 61, 68, NA, 4136684,  X
35, 36.4, 103717, 1427532, 321113, 128257, 11851, 142904, 33072, 150, 85, 4, NA, 2168596,  X
36, 37.4, 37626, 140759, 606514, 410771, 1100080, 2006839, 266160, 899512, 64, 92, NA, 5468261,  X
37, 38.4, 18141, 10405, 447918, 471510, 37408, 11710, 264269, 368050, 8, 8, NA, 1629411,  X
38, 39.4, 10179, 104021, 26317, 165257, 29, 8457, 315369, 16285, 56, 19, NA, 645914,  X
39, 40.4, 1415812, 439764, 215188, 109063, 126874, 1339031, 290250, 58217, 26, 57, NA, 3994199,  X
40, 41.4, 1374658, 44344, 1382, 108251, 677851, 53599, 33204, 11170, 82, 78, NA, 2304459,  X
41, 42.4, 181381, 121544, 772755, 106637, 98428, 1856111, 19098, 493453, 98, 36, NA, 3649407,  X
42, 43.4, 586402, 946921, 445638, 89648, 31914, 39, 131335, 166900, 32, 100, NA, 2398797,  X
43, 44.4, 139571, 22222, 93, 33272, 9937, 1930, 35573, 250973, 71, 62, NA, 493571,  X
44, 45.4, 72106, 239, 4982, 355459, 195075, 3074, 369992, 288034, 46, 66, NA, 1288961,  X
45, 46.4, 467107, 794360, 42660, 160660, 50954, 700255, 59497, 170126, 94, 40, NA, 2445619,  X
46, 47.4, 1083360, 7220, 233456, 286280, 735113, 36583, 116900, 86348, 89, 50, NA, 2585260,  X
47, 48.5, 1147, 401, 3019, 236967, 329194, 698385, 111140, 826140, 26, 22, NA, 2206393,  X
48, 49.5, 90679, 278502, 188938, 63348, 393073, 612266, 425885, 48524, 20, 44, NA, 2101215,  X
49, 50.5, 275498, 470136, 34407, 115171, 1375, 300654, 175571, 194511, 71, 94, NA, 1567323,  X
50, 51.5, 81715, 12740, 139756, 1350918, 327943, 829471, 215613, 278935, 33, 63, NA, 3237091,  X
51, 52.5, 886185, 1048973, 4536, 243009, 354639, 195186, 77590, 10582, 38, 43, NA, 2820700,  X
52, 53.5, 49251, 49635, 28980, 140808, 1184969, 26636, 207841, 64255, 84, 36, NA, 1752375,  X
53, 54.5, 1794, 152523, 684155, 336529, 280961, 597617, 1883483, 568853, 36, 77, NA, 4505915,  X
54, 55.5, 65083, 126267, 29246, 1310589, 126732, 37153, 12243, 392095, 5, 41, NA, 2099408,  X
55, 56.5, 233159, 6437, 232626, 46, 38287, 7306, 15011, 10700, 16, 78, NA, 543572,  X
56, 57.5, 2882, 709700, 78905, 723, 250798, 768800, 36985, 822065, 49, 65, NA, 2670858,  X
57, 58.5, 109836, 176686, 414427, 457092, 6613, 94126, 16804, 3811, 3, 52, NA, 1279395,  X
58, 59.5, 184695, 1067661, 10837, 352845, 91000, 1016642, 175076, 13480, 99, 75, NA, 2912236,  X
59, 60.5, 5372, 564020, 8408, 266187, 1178882, 113459, 51943, 1062262, 69, 55, NA, 3250533,  X
