obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 7492, 245541, 218735, 10790, 438393, 62868, 118809, 31858, 56, 44, NA, 1134486,  8
2, 3.0, 235682, 34116, 2232, 1183144, 393758, 77292, 90248, 101427, 48, 48, NA, 2117899,  8
3, 4.0, 37776, 44, 54533, 162112, 18732, 30208, 805338, 243173, 21, 68, NA, 1351916,  8
4, 5.0, 350363, 148561, 120459, 1209337, 147467, 1554, 227929, 116863, 69, 17, NA, 2322533,  8
5, 6.0, 405849, 375116, 96412, 3733, 361552, 131593, 877326, 311054, 3, 5, NA, 2562635,  8
6, 7.1, 4301, 288336, 57908, 33472, 26793, 202362, 230156, 868463, 87, 100, NA, 1711791,  8
7, 8.1, 870222, 61033, 878744, 2758, 88394, 89787, 2173, 131244, 37, 17, NA, 2124355,  8
8, 9.1, 279484, 516025, 30664, 183981, 51269, 32389, 4059397, 304757, 74, 69, NA, 5457966,  8
9, 10.1, 490678, 644312, 184769, 417148, 135143, 784070, 116842, 28792, 77, 7, NA, 2801754,  8
10, 11.1, 203971, 167015, 318847, 26341, 95134, 124098, 863872, 48701, 28, 70, NA, 1847979,  8
11, 12.1, 86948, 718518, 70255, 15775, 785558, 79950, 55899, 1474304, 71, 93, NA, 3287207,  8
12, 13.1, 860263, 9712, 517132, 401907, 9274, 251416, 482810, 60688, 11, 93, NA, 2593202,  8
13, 14.1, 2543, 18299, 558298, 155309, 133744, 11883, 19679, 207755, 67, 4, NA, 1107510,  8
14, 15.2, 345779, 23722, 142411, 265727, 1055139, 32472, 10931, 15549, 32, 16, NA, 1891730,  8
15, 16.2, 3797, 720972, 18127, 49800, 125958, 331170, 16856, 103987, 63, 77, NA, 1370667,  8
16, 17.2, 474, 129231, 134202, 70, 172666, 710632, 159320, 79945, 91, 23, NA, 1386540,  8
17, 18.2, 35736, 146179, 146029, 81453, 3001, 92919, 205955, 56979, 79, 83, NA, 768251,  8
18, 19.2, 484655, 56034, 1012417, 11556, 582232, 196473, 26417, 66444, 62, 32, NA, 2436228,  8
19, 20.2, 972522, 55578, 1971067, 7076, 219263, 676314, 302659, 254702, 6, 24, NA, 4459181,  8
20, 21.2, 1958, 1102943, 455784, 26686, 389230, 166320, 175899, 195149, 100, 3, NA, 2513969,  8
21, 22.2, 33744, 168936, 964566, 35095, 36830, 35722, 357451, 22840, 37, 61, NA, 1655184,  8
22, 23.3, 329224, 388220, 7491, 138264, 400754, 208035, 1491362, 84508, 89, 38, NA, 3047858,  8
23, 24.3, 311450, 18570, 203667, 137040, 766342, 137794, 3799, 1109, 42, 10, NA, 1579771,  8
24, 25.3, 316669, 130982, 447139, 68552, 373181, 48181, 8747, 4781, 82, 65, NA, 1398232,  8
25, 26.3, 156037, 543078, 386125, 14041, 280781, 1903, 73858, 632595, 6, 72, NA, 2088418,  8
26, 27.3, 174924, 185887, 866551, 46583, 2968, 238493, 2583, 359987, 93, 18, NA, 1877976,  8
27, 28.3, 76591, 1081480, 5574, 191073, 583311, 282, 17593, 21089, 95, 95, NA, 1976993,  8
28, 29.3, 467555, 17219, 120129, 1194267, 442249, 104920, 591602, 284699, 46, 90, NA, 3222640,  8
29, 30.3, 220502, 45870, 31396, 30352, 63325, 646668, 40647, 31364, 94, 23, NA, 1110124,  8
30, 31.3, 852270, 275542, 294178, 9650, 654459, 223, 1885516, 128, 55, 10, NA, 3971966,  8
31, 32.4, 729777, 158865, 9794, 150783, 414189, 299, 77206, 468761, 98, 14, NA, 2009674,  8
32, 33.4, 714320, 639178, 42097, 892592, 1003706, 35484, 327798, 196755, 43, 34, NA, 3851930,  8
33, 34.4, 21273, 61638, 26918, 137319, 138200, 1001597, 1724543, 148079, 76, 25, NA, 3259567,  8
34, 35.4, 52312, 96638, 398385, 564, 130035, 39938, 115323, 460436, 77, 52, NA, 1293631,  8
35, 36.4, 169537, 166425, 38429, 450499, 523, 174368, 73556, 40234, 57, 6, NA, 1113571,  8
36, 37.4, 256200, 19316, 39096, 142804, 1564, 617146, 4296, 2041583, 11, 55, NA, 3122005,  8
37, 38.4, 69077, 238975, 91, 58813, 105328, 1376912, 109267, 90428, 56, 43, NA, 2048891,  8
38, 39.4, 60760, 279965, 65152, 242354, 118314, 2044767, 171071, 348896, 54, 100, NA, 3331279,  8
39, 40.4, 50693, 92337, 343104, 691418, 149738, 162758, 21023, 184363, 65, 54, NA, 1695434,  8
40, 41.5, 16263, 915702, 1081124, 249644, 256604, 3284, 368540, 964029, 57, 63, NA, 3855190,  8
41, 42.5, 5132, 1336451, 9550, 635613, 2549, 69656, 37863, 3203845, 65, 22, NA, 5300659,  8
42, 43.5, 9887, 308, 54549, 42271, 846784, 46867, 319679, 827540, 51, 66, NA, 2147885,  8
43, 44.5, 155526, 339965, 1196418, 64593, 53390, 308800, 407755, 25230, 82, 38, NA, 2551677,  8
44, 45.5, 58032, 1526660, 207551, 186609, 16123, 282528, 8604, 239131, 20, 4, NA, 2525238,  8
45, 46.5, 56042, 15766, 162519, 50170, 456940, 175, 1608, 305140, 99, 40, NA, 1048360,  8
46, 47.5, 333559, 13926, 1610, 39000, 30823, 636563, 213498, 12081, 9, 47, NA, 1281060,  8
47, 48.5, 853606, 437204, 182070, 1904949, 153762, 80063, 156009, 165361, 78, 95, NA, 3933024,  8
48, 49.6, 7794, 52321, 272738, 457396, 422093, 7445, 47749, 232539, 64, 75, NA, 1500075,  8
49, 50.6, 26480, 61928, 20755, 767, 679992, 70335, 1988398, 543399, 57, 21, NA, 3392054,  8
