obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 172797, 640114, 909283, 293999, 4018, 30978, 187036, 3287, 33, 53, NA, 2241512,  X
2, 3.0, 43009, 580746, 162306, 225965, 1111, 514037, 169792, 128611, 70, 67, NA, 1825577,  X
3, 4.1, 881, 285004, 279497, 43039, 379966, 112892, 74516, 57980, 65, 43, NA, 1233775,  X
4, 5.1, 420160, 13803, 166563, 1052444, 3927, 91804, 5547, 53881, 61, 36, NA, 1808129,  X
5, 6.1, 651, 413903, 252031, 605146, 45145, 550410, 6111, 593846, 95, 40, NA, 2467243,  X
6, 7.1, 1653, 794743, 520336, 45601, 922428, 49708, 109397, 138584, 79, 66, NA, 2582450,  X
7, 8.1, 1746388, 103131, 96910, 2899867, 970929, 108443, 123816, 9575, 51, 10, NA, 6059059,  X
8, 9.1, 756650, 144817, 23658, 197514, 60345, 89724, 353917, 130040, 5, 65, NA, 1756665,  X
9, 10.1, 108837, 464272, 526529, 869585, 507350, 297, 500086, 4813, 44, 65, NA, 2981769,  X
10, 11.1, 332369, 1753433, 299736, 243020, 471903, 1650, 212215, 408, 79, 87, NA, 3314734,  X
11, 12.1, 195983, 21220, 177, 129605, 147604, 375406, 23021, 11178, 29, 12, NA, 904194,  X
12, 13.2, 18163, 245577, 452329, 243643, 218491, 1401133, 166475, 577297, 38, 11, NA, 3323108,  X
13, 14.2, 92099, 149286, 72956, 257463, 14347, 3386, 105663, 2526037, 89, 25, NA, 3221237,  X
14, 15.2, 27668, 1125666, 178800, 65220, 1797, 234735, 1018180, 920364, 26, 14, NA, 3572430,  X
15, 16.2, 215854, 560471, 81416, 15786, 47231, 149760, 2280, 20793, 61, 82, NA, 1093591,  X
16, 17.2, 3805, 7266, 22219, 170682, 18396, 571221, 16301, 302033, 64, 33, NA, 1111923,  X
17, 18.2, 45148, 1235684, 383392, 638914, 3472, 423024, 57794, 172194, 74, 70, NA, 2959622,  X
18, 19.2, 389009, 388219, 838139, 1134, 67719, 630814, 1520114, 300029, 30, 73, NA, 4135177,  X
19, 20.2, 210515, 737793, 51926, 516751, 44156, 923667, 48792, 607430, 60, 51, NA, 3141030,  X
20, 21.2, 25506, 201891, 64295, 24809, 81433, 52457, 363166, 42826, 65, 1, NA, 856383,  X
21, 22.2, 40826, 584490, 231950, 227865, 494765, 965456, 31909, 658519, 62, 81, NA, 3235780,  X
22, 23.2, 685099, 3354, 389952, 459009, 201252, 66357, 163096, 562841, 28, 5, NA, 2530960,  X
23, 24.2, 1126264, 277029, 10322, 104444, 70688, 1355, 36919, 291994, 88, 26, NA, 1919015,  X
24, 25.3, 512340, 442207, 13, 488945, 200686, 337022, 30403, 961123, 71, 84, NA, 2972739,  X
25, 26.3, 33220, 255446, 352889, 957271, 329784, 513590, 17996, 425691, 12, 40, NA, 2885887,  X
26, 27.3, 422307, 97259, 80720, 102709, 432535, 180118, 46023, 131166, 38, 43, NA, 1492837,  X
27, 28.3, 146184, 54265, 127155, 544129, 90, 653244, 88300, 404172, 16, 14, NA, 2017539,  X
28, 29.3, 1737647, 701572, 425478, 295380, 80556, 137010, 173258, 946670, 51, 25, NA, 4497571,  X
29, 30.3, 133216, 1118, 41, 278931, 271099, 1490, 157721, 1062955, 13, 15, NA, 1906571,  X
30, 31.3, 118256, 4470, 298647, 50505, 54560, 1607682, 52503, 818170, 14, 27, NA, 3004793,  X
31, 32.3, 860302, 837398, 470923, 232432, 176462, 90735, 876444, 7903, 62, 56, NA, 3552599,  X
32, 33.3, 16904, 741974, 13673, 274704, 298883, 694537, 221, 1694363, 48, 47, NA, 3735259,  X
33, 34.3, 1078, 125950, 56351, 130796, 314745, 1803983, 43362, 448398, 43, 8, NA, 2924663,  X
34, 35.3, 6807, 119671, 778208, 100847, 517084, 125136, 95368, 553843, 10, 15, NA, 2296964,  X
35, 36.3, 1521, 220671, 1632816, 488426, 14595, 290090, 20275, 17986, 79, 11, NA, 2686380,  X
36, 37.4, 133760, 128317, 54498, 44949, 31917, 71929, 31799, 576233, 93, 92, NA, 1073402,  X
37, 38.4, 12648, 227029, 72613, 236268, 83600, 260508, 560, 272392, 17, 47, NA, 1165618,  X
38, 39.4, 106983, 1373372, 7019, 6488, 181421, 1267870, 14490, 968327, 14, 23, NA, 3925970,  X
39, 40.4, 16918, 20154, 469306, 84369, 230896, 451675, 185, 187690, 53, 9, NA, 1461193,  X
40, 41.4, 74321, 304838, 29783, 2610, 22943, 557023, 1620412, 162686, 46, 11, NA, 2774616,  X
41, 42.4, 197543, 129660, 107387, 195362, 399909, 66805, 333315, 4270, 30, 45, NA, 1434251,  X
42, 43.4, 33789, 548602, 846865, 27537, 42683, 393359, 29606, 456019, 19, 32, NA, 2378460,  X
43, 44.4, 17766, 4026, 5857, 251294, 511287, 151283, 472, 18233, 78, 91, NA, 960218,  X
44, 45.4, 31331, 6736, 411719, 13430, 1305239, 8209, 145341, 418561, 48, 83, NA, 2340566,  X
45, 46.4, 453871, 30007, 163143, 40874, 17006, 781794, 592173, 94971, 45, 36, NA, 2173839,  X
46, 47.4, 640137, 813049, 515520, 14878, 82646, 1228142, 4372, 348632, 75, 65, NA, 3647376,  X
47, 48.4, 15337, 274376, 493587, 418137, 721571, 1318, 492485, 114732, 86, 20, NA, 2531543,  X
48, 49.4, 104733, 90900, 110450, 4047, 132755, 1880, 51995, 935498, 35, 16, NA, 1432258,  X
49, 50.5, 154, 40294, 59623, 73086, 153409, 990841, 39802, 66120, 88, 45, NA, 1423329,  X
50, 51.5, 125266, 399201, 255563, 721510, 500618, 29310, 12986, 280793, 9, 42, NA, 2325247,  X
51, 52.5, 494387, 37033, 37621, 351650, 537725, 564, 29873, 340018, 39, 16, NA, 1828871,  X
52, 53.5, 662375, 10006, 61721, 778783, 21428, 38533, 6071, 13196, 7, 24, NA, 1592113,  X
53, 54.5, 119564, 718509, 170675, 29739, 401, 26364, 72693, 139231, 31, 50, NA, 1277176,  X
54, 55.5, 386647, 4008, 480588, 427125, 782089, 232951, 182963, 540748, 1, 2, NA, 3037119,  X
55, 56.5, 92688, 2433, 38913, 69438, 13210, 330305, 309643, 885591, 96, 86, NA, 1742221,  X
56, 57.5, 310498, 63, 31841, 570385, 538040, 37846, 148668, 131284, 52, 5, NA, 1768625,  X
57, 58.5, 1417, 235173, 697442, 27813, 195416, 234913, 561954, 27135, 81, 35, NA, 1981263,  X
58, 59.5, 1036083, 4411, 780380, 45198, 1575, 16113, 115292, 56001, 20, 95, NA, 2055053,  X
59, 60.5, 798280, 445522, 235648, 637854, 9378, 277825, 26452, 151047, 59, 16, NA, 2582006,  X
60, 61.6, 1570243, 21490, 968872, 233222, 101434, 679345, 24400, 965923, 32, 12, NA, 4564929,  X
61, 62.6, 10639, 170635, 49838, 96115, 41126, 853347, 706218, 495756, 5, 97, NA, 2423674,  X
62, 63.6, 991792, 302228, 792344, 268434, 537, 2719, 25361, 481950, 35, 21, NA, 2865365,  X
63, 64.6, 514182, 231700, 15905, 154023, 21634, 1432, 378446, 4649, 10, 56, NA, 1321971,  X
64, 65.6, 263425, 2132, 715, 7126, 217829, 515283, 240730, 10576, 25, 77, NA, 1257816,  X
65, 66.6, 367831, 38424, 107971, 915358, 28572, 402663, 65968, 543747, 3, 55, NA, 2470534,  X
