obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 222047, 126475, 559278, 29439, 14366, 107348, 7518, 300646, 22, 10, NA, 1367117,  X
2, 3.1, 835088, 162504, 760413, 69801, 184004, 1486926, 1154, 994845, 78, 49, NA, 4494735,  X
3, 4.1, 12977, 678793, 456688, 292279, 364243, 542, 131196, 40624, 35, 72, NA, 1977342,  X
4, 5.1, 10113, 668150, 203, 962, 5446, 112970, 1256, 0, 75, 64, NA, 799100,  X
5, 6.1, 37607, 916587, 1078355, 37764, 1187, 55801, 61927, 117925, 39, 85, NA, 2307153,  X
6, 7.1, 701585, 286436, 1331053, 148712, 196310, 598485, 557087, 63869, 56, 47, NA, 3883537,  X
7, 8.1, 327127, 72079, 670273, 251745, 161509, 704010, 1086643, 985917, 85, 11, NA, 4259303,  X
8, 9.1, 287510, 1239, 24169, 55595, 16038, 52261, 63024, 2986658, 87, 65, NA, 3486494,  X
9, 10.1, 45, 577335, 232682, 6628, 19348, 1434316, 10612, 107009, 100, 99, NA, 2387975,  X
10, 11.2, 90450, 161552, 22959, 4722, 290346, 185916, 808177, 71205, 85, 86, NA, 1635327,  X
11, 12.2, 148415, 23822, 1542, 558290, 142863, 2853817, 944386, 6330, 15, 27, NA, 4679465,  X
12, 13.2, 18143, 150352, 12607, 103216, 203093, 127439, 17234, 10082, 51, 76, NA, 642166,  X
13, 14.2, 41631, 378414, 81935, 118111, 703168, 1550218, 496380, 10659, 50, 20, NA, 3380516,  X
14, 15.3, 187985, 771205, 196, 163444, 123860, 83849, 1436401, 147919, 92, 12, NA, 2914859,  X
15, 16.3, 138968, 306582, 811508, 283863, 299193, 714, 9549, 48500, 80, 58, NA, 1898877,  X
16, 17.3, 280609, 120461, 855688, 565568, 423482, 104712, 338157, 1019, 20, 23, NA, 2689696,  X
17, 18.3, 15640, 20852, 275340, 16344, 3577, 780126, 624436, 361674, 21, 7, NA, 2097989,  X
18, 19.4, 1288970, 424559, 24828, 32197, 56333, 246033, 945016, 41593, 83, 83, NA, 3059529,  X
19, 20.4, 7664, 803966, 3223, 659035, 60032, 31075, 198861, 351323, 94, 37, NA, 2115179,  X
20, 21.4, 1113802, 800927, 15212, 634585, 201924, 2371, 1708949, 50171, 37, 17, NA, 4527941,  X
21, 22.5, 101471, 104376, 658, 14427, 379327, 567031, 36152, 44006, 29, 63, NA, 1247448,  X
22, 23.5, 17438, 129826, 457409, 43992, 1064, 152148, 689534, 739871, 42, 69, NA, 2231282,  X
23, 24.5, 192957, 1300408, 66456, 66897, 1, 324294, 100394, 359393, 93, 91, NA, 2410800,  X
24, 25.5, 1306781, 30225, 1174368, 75728, 128464, 233622, 1039207, 149655, 89, 42, NA, 4138050,  X
25, 26.6, 34777, 11081, 256693, 32847, 102501, 255908, 121128, 63139, 31, 62, NA, 878074,  X
26, 27.6, 7463, 139850, 2, 225436, 1155345, 246143, 30861, 84632, 62, 38, NA, 1889732,  X
27, 28.6, 17490, 159652, 5424, 51423, 5225, 74523, 10017, 11473, 22, 44, NA, 335227,  X
28, 29.6, 243803, 1078, 539908, 137503, 93989, 729343, 81083, 43812, 25, 23, NA, 1870519,  X
29, 30.7, 11106, 767723, 23700, 92458, 509332, 475912, 595, 485452, 47, 34, NA, 2366278,  X
30, 31.7, 304409, 167001, 1483, 194992, 246, 286704, 64516, 128315, 70, 24, NA, 1147666,  X
31, 32.7, 449094, 654307, 123451, 25798, 23430, 410412, 514174, 3992, 1, 90, NA, 2204658,  X
32, 33.7, 92, 126182, 25637, 45064, 341, 6226, 434031, 566446, 15, 8, NA, 1204019,  X
33, 34.7, 3754960, 105737, 528297, 527134, 82952, 8878, 475614, 204217, 24, 70, NA, 5687789,  X
34, 35.7, 196868, 613082, 61099, 714942, 12761, 357729, 14983, 54915, 16, 34, NA, 2026379,  X
35, 36.7, 554577, 44372, 79432, 266997, 309657, 308595, 41188, 674622, 75, 76, NA, 2279440,  X
36, 37.7, 133499, 94991, 211177, 441263, 287049, 695502, 1692, 361, 69, 38, NA, 1865534,  X
37, 38.7, 777082, 30191, 14810, 152066, 788404, 32817, 704410, 43265, 15, 47, NA, 2543045,  X
38, 39.7, 183745, 3139, 493039, 492270, 7863, 96157, 179019, 41621, 49, 88, NA, 1496853,  X
39, 40.7, 36339, 32424, 91614, 167851, 120978, 1928149, 682969, 99404, 47, 32, NA, 3159728,  X
40, 41.7, 31797, 33146, 569385, 605672, 469924, 20962, 228369, 1837, 12, 75, NA, 1961092,  X
41, 42.8, 375113, 92239, 257118, 213268, 350081, 576084, 129017, 181511, 76, 37, NA, 2174431,  X
42, 43.8, 681958, 53631, 322352, 576930, 70549, 16541, 22194, 74024, 55, 69, NA, 1818179,  X
43, 44.8, 214266, 147526, 12435, 5605, 1456179, 616944, 2772, 1995, 19, 82, NA, 2457722,  X
44, 45.8, 13985, 208790, 240653, 41481, 993165, 25701, 787905, 327260, 53, 82, NA, 2638940,  X
45, 46.8, 34161, 94240, 162432, 30985, 29382, 68149, 4572, 147427, 19, 57, NA, 571348,  X
46, 47.8, 516313, 445837, 24058, 670785, 288602, 1034074, 1073809, 4, 63, 80, NA, 4053482,  X
47, 48.8, 14048, 534, 1874, 427756, 1705, 145624, 149520, 1924, 30, 87, NA, 742985,  X
48, 49.8, 434688, 57495, 286992, 252008, 27698, 289742, 844127, 70830, 41, 72, NA, 2263580,  X
49, 50.8, 1583224, 701997, 131442, 217662, 1140374, 33001, 210826, 122667, 57, 94, NA, 4141193,  X
50, 51.8, 26684, 86469, 953, 327635, 110501, 5707, 65080, 66886, 51, 50, NA, 689915,  X
51, 52.8, 9148, 14894, 636675, 851056, 587334, 241087, 37983, 278405, 59, 89, NA, 2656582,  X
52, 53.8, 90654, 40577, 65630, 166474, 8, 913, 6008, 514, 28, 3, NA, 370778,  X
53, 54.9, 5709, 275464, 16609, 233967, 945162, 351486, 323870, 4319, 41, 74, NA, 2156586,  X
54, 55.9, 82675, 384062, 172617, 131859, 201680, 276461, 115778, 31049, 95, 73, NA, 1396181,  X
55, 56.9, 217220, 149670, 62452, 25531, 962691, 539137, 64025, 282901, 14, 3, NA, 2303627,  X
56, 57.9, 31262, 24132, 36533, 455700, 171296, 395900, 981391, 92400, 33, 14, NA, 2188614,  X
57, 58.9, 1577695, 2550476, 4472220, 102577, 263671, 393727, 1746049, 783596, 24, 86, NA, 11890011,  X
58, 59.9, 280197, 467100, 147607, 128699, 15928, 212030, 95723, 103730, 27, 91, NA, 1451014,  X
59, 60.9, 912409, 466813, 2329169, 84086, 81271, 1353, 85652, 747502, 8, 16, NA, 4708255,  X
60, 61.9, 205979, 5458, 363075, 60863, 39665, 46480, 143187, 6859, 72, 64, NA, 871566,  X
61, 62.9, 90617, 1123060, 303011, 316494, 95725, 683127, 254464, 2238, 73, 46, NA, 2868736,  X
62, 63.9, 3864, 316609, 85817, 601497, 1304638, 554893, 15640, 4, 10, 95, NA, 2882962,  X
63, 64.9, 312364, 667921, 142704, 7287, 213952, 445705, 450512, 930, 40, 65, NA, 2241375,  X
64, 65.9, 272813, 29437, 387165, 292146, 25203, 228866, 13867, 28175, 44, 78, NA, 1277672,  X
65, 67.0, 1033920, 12853, 278729, 713596, 109282, 20026, 244, 172734, 100, 75, NA, 2341384,  X
66, 68.0, 403399, 253801, 119302, 8345, 26432, 386369, 5485, 76438, 39, 71, NA, 1279571,  X
67, 69.0, 48412, 3136, 674606, 406763, 488419, 2022218, 252678, 5772, 94, 3, NA, 3902004,  X
