obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 1367388, 477114, 1008660, 19742, 118593, 1106131, 189004, 130886, 97, 72, NA, 4417518,  X
2, 3.1, 52540, 488771, 7493, 72752, 374141, 16447, 27181, 236978, 29, 51, NA, 1276303,  X
3, 4.5, 43867, 6856, 259509, 1318926, 400, 47195, 61020, 309015, 56, 58, NA, 2046788,  X
4, 5.5, 105, 597442, 241684, 211938, 3208, 283135, 976308, 370105, 7, 1, NA, 2683925,  X
5, 6.5, 56214, 404868, 100342, 457757, 118571, 262792, 523990, 21782, 36, 82, NA, 1946316,  X
6, 7.6, 157460, 211602, 596443, 2975, 30019, 192514, 15812, 1516490, 86, 15, NA, 2723315,  X
7, 8.6, 1296808, 78671, 1769072, 104531, 661076, 68646, 689657, 16840, 8, 1, NA, 4685301,  X
8, 9.6, 197164, 493853, 15810, 0, 69917, 899108, 13216, 24853, 88, 7, NA, 1713921,  X
9, 10.7, 1392, 2215741, 359229, 504278, 633618, 87301, 645144, 73952, 80, 97, NA, 4520655,  X
10, 11.7, 668, 499083, 166498, 54815, 16905, 41722, 159527, 233549, 79, 61, NA, 1172767,  X
11, 12.7, 4166, 56664, 1188266, 430285, 1838820, 18227, 737309, 61421, 9, 91, NA, 4335158,  X
12, 13.7, 153683, 18566, 12412, 1792, 44607, 643567, 476576, 172242, 9, 18, NA, 1523445,  X
13, 14.8, 318381, 27189, 2807547, 87228, 261755, 754689, 59791, 1002331, 26, 15, NA, 5318911,  X
14, 15.8, 11520, 193609, 238371, 241761, 215259, 2124239, 125464, 110306, 23, 70, NA, 3260529,  X
15, 16.8, 285232, 268005, 24324, 251289, 65046, 1023929, 114450, 1383195, 74, 57, NA, 3415470,  X
16, 17.9, 139698, 2959057, 481289, 277878, 172539, 98682, 45327, 72138, 34, 69, NA, 4246608,  X
