obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 4911, 609746, 134576, 587660, 49252, 14532, 364343, 51636, 81, 32, NA, 1816656,  X
2, 3.0, 23671, 255419, 398764, 304921, 105668, 391137, 52182, 155388, 59, 52, NA, 1687150,  X
3, 4.3, 11897, 18728, 78237, 1193637, 877292, 252483, 245112, 230862, 28, 33, NA, 2908248,  X
4, 5.4, 158889, 1235, 562383, 1258, 605771, 406751, 156005, 63406, 46, 83, NA, 1955698,  X
5, 6.4, 109935, 276, 4870, 1614025, 74, 108687, 96279, 236485, 58, 79, NA, 2170631,  X
6, 7.4, 327162, 66535, 2636, 1042, 420069, 4041, 610826, 271476, 83, 87, NA, 1703787,  X
7, 8.4, 583214, 85733, 2963, 197969, 30590, 91131, 113968, 43583, 83, 22, NA, 1149151,  X
8, 9.4, 376, 1298, 2384, 120395, 671, 23818, 338578, 104312, 8, 38, NA, 591832,  X
9, 10.4, 2655, 313210, 381404, 131691, 157712, 679953, 131474, 28964, 60, 42, NA, 1827063,  X
10, 11.4, 1592090, 425122, 3763, 61416, 930321, 9790, 271923, 812266, 96, 90, NA, 4106691,  X
11, 12.4, 14995, 34166, 39039, 162048, 114541, 136835, 41136, 15330, 42, 72, NA, 558090,  X
12, 13.4, 9982, 575456, 114970, 210531, 175392, 4851, 264973, 2971, 10, 100, NA, 1359126,  X
13, 14.4, 180467, 66348, 325360, 170888, 4387, 841752, 1055, 1928, 27, 31, NA, 1592185,  X
14, 15.5, 325041, 3160, 445500, 30029, 18260, 7932, 33238, 339055, 45, 54, NA, 1202215,  X
15, 16.5, 198743, 877089, 70187, 42, 3455, 606172, 146471, 48693, 100, 42, NA, 1950852,  X
16, 17.5, 25, 502071, 16035, 136643, 1368, 33166, 153532, 458869, 26, 35, NA, 1301709,  X
17, 18.5, 377963, 99414, 96028, 70813, 518506, 42726, 308452, 1290, 68, 95, NA, 1515192,  X
18, 19.5, 165094, 26258, 66562, 386558, 267773, 27031, 372517, 12878, 91, 12, NA, 1324671,  X
19, 20.5, 195878, 27714, 341059, 94935, 339830, 277, 46909, 180866, 30, 21, NA, 1227468,  X
20, 21.5, 77625, 1359887, 1020569, 684958, 510593, 11449, 22292, 4578, 41, 3, NA, 3691951,  X
21, 22.5, 239140, 211805, 712556, 496885, 433198, 226, 179570, 5, 68, 71, NA, 2273385,  X
22, 23.6, 156456, 387858, 99136, 7008, 25484, 390476, 494517, 41903, 60, 16, NA, 1602838,  X
23, 24.6, 274386, 23516, 46808, 116426, 37551, 211482, 206214, 363546, 47, 46, NA, 1279929,  X
24, 25.6, 295452, 82062, 765039, 0, 88820, 354068, 21552, 289555, 88, 96, NA, 1896548,  X
25, 26.6, 155861, 108941, 362878, 28744, 4375, 253317, 2443, 13483, 2, 77, NA, 930042,  X
26, 27.6, 135915, 369126, 185952, 211886, 122296, 153311, 11230, 101603, 39, 75, NA, 1291319,  X
27, 28.6, 440160, 122688, 480956, 327, 150523, 668319, 225457, 36351, 41, 20, NA, 2124781,  X
