obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 57.6, 528269, 54905, 15402, 57321, 294232, 677, 3592, 5224, 58, 14, NA, 959622,  X
57, 58.6, 110649, 217518, 98453, 283044, 229699, 414369, 193405, 3768, 75, 37, NA, 1550905,  X
58, 59.6, 943187, 247132, 342, 377537, 148166, 775662, 74631, 6376, 1, 18, NA, 2573033,  X
59, 60.6, 1817, 269719, 682678, 199489, 50, 294050, 27612, 32948, 43, 95, NA, 1508363,  X
60, 61.6, 211942, 148169, 14893, 1604, 12146, 640744, 49446, 25008, 90, 24, NA, 1103952,  X
61, 62.7, 34689, 492540, 925045, 8872, 145619, 110441, 2892925, 9754, 43, 15, NA, 4619885,  X
62, 63.7, 460348, 87441, 855201, 88136, 85906, 1135797, 110650, 13650, 23, 53, NA, 2837129,  X
63, 64.7, 268666, 18483, 179845, 156587, 315179, 611, 79862, 1771, 2, 65, NA, 1021004,  X
64, 65.7, 1176007, 6952, 1557746, 178351, 1790, 41977, 7176, 219473, 82, 71, NA, 3189472,  X
65, 66.7, 147709, 242609, 39955, 1428, 56464, 125827, 285173, 296663, 38, 92, NA, 1195828,  X
66, 67.7, 33311, 800, 31354, 294891, 98680, 599658, 2727, 7700, 60, 10, NA, 1069121,  X
67, 68.7, 9788, 452262, 469429, 860204, 511077, 36090, 179850, 839196, 50, 22, NA, 3357896,  X
68, 69.7, 423022, 1688849, 136946, 114938, 67953, 1508637, 184899, 1438960, 41, 53, NA, 5564204,  X
69, 70.7, 26093, 328559, 429356, 12436, 875909, 44832, 1000906, 120117, 47, 69, NA, 2838208,  X
70, 71.8, 1799970, 1370751, 37708, 97576, 134389, 97673, 1378837, 159347, 16, 46, NA, 5076251,  X
71, 72.8, 186845, 48788, 128092, 142644, 171342, 340954, 335609, 100296, 23, 70, NA, 1454570,  X
72, 73.8, 366240, 120334, 226454, 296150, 1586137, 780094, 30995, 9764, 77, 13, NA, 3416168,  X
73, 74.8, 888901, 1556, 940922, 2503, 1477157, 135966, 642213, 217513, 16, 34, NA, 4306731,  X
74, 75.8, 5028, 48345, 71910, 1739230, 302, 21295, 164594, 5580, 38, 11, NA, 2056284,  X
75, 76.8, 23723, 212478, 111956, 124039, 123445, 5236, 105040, 524070, 18, 74, NA, 1229987,  X
76, 77.8, 167314, 1266, 1755, 476846, 82756, 1553, 672640, 176937, 60, 69, NA, 1581067,  X
77, 78.8, 10060, 60074, 718257, 15011, 224340, 157062, 16152, 600881, 100, 28, NA, 1801837,  X
78, 79.9, 464404, 373155, 53, 116440, 35122, 158198, 1041801, 730131, 10, 65, NA, 2919304,  X
79, 80.9, 614, 60040, 152702, 3630, 453154, 200906, 25898, 8869, 97, 82, NA, 905813,  X
80, 81.9, 112315, 266290, 27187, 501997, 35466, 321098, 270143, 434, 62, 99, NA, 1534930,  X
81, 82.9, 218473, 613031, 9830, 362415, 1305612, 679923, 311726, 21384, 58, 16, NA, 3522394,  X
82, 83.9, 2225111, 1493107, 364656, 266463, 113487, 1119095, 400630, 284463, 65, 36, NA, 6267012,  X
83, 84.9, 5518, 1785079, 147265, 69038, 206585, 154431, 69303, 892785, 48, 32, NA, 3330004,  X
84, 85.9, 44788, 277864, 281606, 730241, 239222, 1142853, 390, 125900, 84, 5, NA, 2842864,  X
85, 86.9, 1060531, 49835, 159657, 819760, 268722, 9744, 39886, 45573, 95, 47, NA, 2453708,  X
86, 88.0, 675256, 29609, 1166, 96693, 87582, 153164, 46994, 515342, 61, 16, NA, 1605806,  X
87, 89.0, 4000, 49360, 645434, 45620, 209929, 22847, 374, 1978, 62, 64, NA, 979542,  X
88, 90.0, 191576, 43317, 398474, 123276, 310040, 9790, 52847, 27774, 47, 97, NA, 1157094,  X
89, 91.0, 42582, 74529, 681474, 77239, 132492, 159, 204633, 564128, 55, 45, NA, 1777236,  X
90, 92.0, 199353, 128085, 73928, 75120, 30722, 2178055, 233606, 119113, 12, 77, NA, 3037982,  X
91, 93.0, 23755, 106530, 406220, 48007, 365269, 277269, 8211, 91, 44, 88, NA, 1235352,  X
92, 94.0, 1213, 845080, 249528, 873457, 48572, 232804, 4075, 38334, 91, 11, NA, 2293063,  X
93, 95.0, 331256, 160934, 486078, 665, 724483, 6670, 180714, 148918, 18, 63, NA, 2039718,  X
94, 96.0, 1047, 719978, 15508, 112216, 13567, 26240, 133242, 1497080, 10, 8, NA, 2518878,  X
95, 97.1, 678, 313902, 2096138, 563437, 2298804, 222597, 2113019, 66264, 3, 92, NA, 7674839,  X
96, 98.1, 12853, 126752, 1434461, 825841, 9, 32973, 1455, 3103, 15, 67, NA, 2437447,  X
97, 99.1, 568335, 14075, 133830, 72032, 417259, 268124, 24496, 148916, 80, 32, NA, 1647067,  X
98, 100.1, 264687, 512567, 24095, 914258, 24574, 128911, 157728, 467687, 73, 65, NA, 2494507,  X
99, 101.1, 22444, 427642, 16302, 30334, 55697, 177523, 592493, 143704, 18, 51, NA, 1466139,  X
100, 102.1, 133024, 310711, 125835, 18509, 816668, 171769, 369698, 142180, 22, 65, NA, 2088394,  X
101, 103.1, 43089, 446822, 7008, 973538, 674389, 1241, 570087, 463893, 86, 80, NA, 3180067,  X
102, 104.1, 800229, 352235, 1168, 2164, 2779, 37641, 439461, 95359, 76, 36, NA, 1731036,  X
103, 105.2, 377959, 146400, 16324, 734, 113184, 189522, 5815, 24531, 84, 42, NA, 874469,  X
104, 106.2, 734071, 119504, 32849, 131863, 56873, 712472, 118484, 733880, 31, 99, NA, 2639996,  X
