obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 189689, 152824, 1467153, 730037, 79365, 838054, 824361, 37662, 88, 77, NA, 4319145,  X*
2, 3.1, 543, 1342926, 655800, 23366, 9703, 323, 1446, 1469, 77, 7, NA, 2035576,  X*
3, 4.1, 2600, 1313220, 860497, 5908, 15242, 26610, 103747, 93952, 35, 52, NA, 2421776,  X*
4, 5.2, 40603, 43122, 31559, 40414, 52686, 695582, 342934, 1490787, 8, 90, NA, 2737687,  X*
5, 6.2, 235866, 562839, 851884, 280738, 572097, 343769, 32977, 753052, 51, 23, NA, 3633222,  X*
6, 7.2, 223527, 68245, 2084, 19056, 22726, 556, 3332, 903448, 95, 65, NA, 1242974,  X*
7, 8.2, 612199, 666741, 3740, 125753, 2269888, 112630, 81174, 167676, 23, 75, NA, 4039801,  X*
8, 9.2, 138225, 524283, 317431, 68731, 61945, 156298, 172864, 10, 94, 36, NA, 1439787,  X*
9, 10.3, 21649, 61328, 553907, 9593, 1136985, 110732, 200618, 2731, 25, 35, NA, 2097543,  X*
10, 11.3, 232169, 156962, 2613, 733412, 79894, 16946, 165785, 227137, 91, 84, NA, 1614918,  X*
11, 12.3, 73148, 662906, 506762, 161107, 2639, 82010, 141044, 39924, 24, 3, NA, 1669540,  X*
12, 13.4, 252056, 163187, 237440, 92687, 96530, 43127, 1017224, 24128, 12, 20, NA, 1926379,  X*
13, 14.4, 453654, 175760, 752310, 339735, 272954, 35478, 221263, 6670, 72, 66, NA, 2257824,  X*
14, 15.4, 7838, 50613, 71720, 139867, 433314, 7089, 98702, 94294, 50, 64, NA, 903437,  X*
15, 16.6, 450497, 29307, 36755, 8500, 74758, 136190, 271610, 208726, 75, 60, NA, 1216343,  X*
16, 17.6, 79792, 44404, 65006, 149097, 797073, 312105, 205113, 630809, 100, 94, NA, 2283399,  X*
17, 18.6, 294875, 188798, 190300, 733588, 56768, 907583, 128188, 111508, 36, 6, NA, 2611608,  X*
18, 19.7, 5215, 706, 91987, 159346, 254678, 148575, 214522, 223960, 68, 59, NA, 1098989,  X*
19, 20.7, 281759, 29444, 18342, 796498, 56389, 16770, 856, 310087, 36, 96, NA, 1510145,  X*
20, 21.8, 3658, 360375, 670933, 370706, 246660, 188363, 37925, 545521, 80, 98, NA, 2424141,  X*
21, 22.8, 71961, 2658, 15039, 200607, 37902, 644167, 107532, 56904, 75, 23, NA, 1136770,  X*
22, 23.9, 549312, 122043, 12032, 6153, 81376, 463390, 1145874, 322658, 3, 41, NA, 2702838,  X*
23, 24.9, 25251, 56785, 685197, 20293, 96, 232089, 1, 86917, 16, 20, NA, 1106629,  X*
24, 25.9, 111508, 72938, 177408, 181161, 943, 9194, 28714, 3302, 64, 27, NA, 585168,  X*
25, 27.0, 236, 386995, 722, 2683, 411716, 57933, 70529, 5184, 80, 21, NA, 935998,  X*
