obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
55, 56.9, 1194, 135002, 49090, 71445, 506012, 7999, 63179, 440840, 100, 84, NA, 1274761,  a*
56, 57.9, 1851588, 76832, 4611, 1101616, 1412502, 42841, 429407, 104526, 64, 73, NA, 5023923,  a*
57, 58.9, 1104701, 11876, 1276960, 106307, 26709, 6109, 678, 2112, 82, 84, NA, 2535452,  a*
58, 59.9, 220212, 117515, 188404, 135983, 96041, 315110, 1033722, 140962, 5, 76, NA, 2247949,  a*
59, 60.9, 119170, 156147, 16685, 168714, 67564, 128840, 312140, 510408, 94, 77, NA, 1479668,  a*
60, 61.9, 31856, 22655, 783697, 119729, 232349, 18548, 34540, 53264, 42, 86, NA, 1296638,  a*
61, 62.9, 367250, 27409, 44494, 177837, 25159, 351146, 5878, 19131, 82, 19, NA, 1018304,  a*
62, 63.9, 35792, 214659, 1926, 27414, 13650, 35598, 19453, 56590, 35, 7, NA, 405082,  a*
63, 64.9, 117938, 2033, 6730, 52873, 1530, 154126, 161426, 874935, 72, 89, NA, 1371591,  a*
64, 66.0, 240631, 20415, 458615, 80260, 1903, 842242, 188046, 1033133, 22, 11, NA, 2865245,  a*
65, 67.0, 673454, 136732, 19185, 1857, 109515, 110620, 804642, 1688, 30, 77, NA, 1857693,  a*
66, 68.0, 279265, 283211, 105933, 34988, 547508, 42267, 5471, 10030, 10, 87, NA, 1308673,  a*
67, 69.0, 43, 661, 55047, 72522, 412813, 22194, 34597, 73283, 70, 87, NA, 671160,  a*
68, 70.0, 196389, 412354, 176779, 1261, 6691, 225588, 23143, 62683, 32, 30, NA, 1104888,  a*
69, 71.0, 34408, 437477, 71032, 2475, 518831, 946555, 99973, 37694, 47, 26, NA, 2148445,  a*
70, 72.1, 784, 234184, 15593, 2903, 77721, 483104, 51690, 761, 36, 72, NA, 866740,  a*
71, 73.1, 45824, 373802, 465, 434119, 218549, 665428, 242296, 259859, 54, 31, NA, 2240342,  a*
72, 74.1, 104562, 16110, 739272, 59235, 770601, 103475, 906015, 1432597, 68, 2, NA, 4131867,  a*
73, 75.1, 188009, 119107, 963841, 714964, 6617, 185698, 47714, 726214, 74, 70, NA, 2952164,  a*
74, 76.1, 60246, 1076612, 551322, 25837, 135390, 1218, 498534, 5084, 60, 28, NA, 2354243,  a*
75, 77.1, 783001, 326234, 9784, 398554, 609455, 580363, 26459, 337176, 85, 22, NA, 3071026,  a*
76, 78.1, 2955, 373613, 274524, 255984, 23217, 782671, 25861, 304, 98, 50, NA, 1739129,  a*
77, 79.2, 47985, 187958, 148232, 274425, 297, 59213, 2984, 427802, 72, 12, NA, 1148896,  a*
78, 80.2, 1520059, 227303, 57202, 3078765, 2106, 302019, 96646, 114888, 17, 89, NA, 5398988,  a*
