obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 337497, 66421, 31140, 18755, 325939, 975776, 737766, 151808, 5, 13, NA, 2645102,  X
2, 3.1, 74237, 14275, 7459, 240934, 16884, 101289, 559179, 47708, 88, 18, NA, 1061965,  X
3, 4.1, 245890, 1152370, 6959, 219894, 32197, 169012, 604691, 1271726, 82, 53, NA, 3702739,  X
4, 5.1, 268558, 627040, 196, 222481, 635734, 321910, 946108, 155709, 76, 50, NA, 3177736,  X
5, 6.1, 240067, 583278, 380814, 251, 756167, 48264, 23676, 64964, 70, 29, NA, 2097481,  X
6, 7.1, 609397, 154103, 257366, 2418745, 17162, 60622, 1016893, 2167115, 24, 27, NA, 6701403,  X
7, 8.1, 155705, 655195, 69, 3548, 133656, 386353, 74334, 143042, 47, 14, NA, 1551902,  X
8, 9.1, 20107, 20958, 15939, 36902, 111549, 113160, 27119, 126601, 86, 76, NA, 472335,  X
9, 10.1, 399604, 20967, 65125, 339460, 896, 112152, 44308, 382241, 68, 10, NA, 1364753,  X
10, 11.2, 207033, 273482, 269211, 892116, 321870, 2219745, 95814, 421834, 13, 3, NA, 4701105,  X
11, 12.2, 259512, 593619, 184244, 448, 144333, 40706, 253537, 682402, 91, 27, NA, 2158801,  X
12, 13.2, 1254046, 572614, 189989, 213886, 72509, 25658, 165, 47226, 50, 30, NA, 2376093,  X
13, 14.2, 77209, 1177943, 154108, 8476, 1657368, 19804, 9167, 163260, 77, 88, NA, 3267335,  X
14, 15.2, 2762, 1502066, 88744, 378553, 292577, 197386, 664940, 107, 86, 23, NA, 3127135,  X
15, 16.2, 574693, 529, 189678, 639538, 66674, 161149, 3043, 16402, 50, 48, NA, 1651706,  X
16, 17.2, 731617, 1684729, 28856, 539069, 117592, 6314, 47311, 209503, 82, 89, NA, 3364991,  X
17, 18.2, 521817, 497118, 1670882, 117204, 42232, 284018, 178683, 91212, 73, 14, NA, 3403166,  X
18, 19.2, 454670, 279425, 1526, 1623592, 792, 6924, 11808, 518874, 67, 71, NA, 2897611,  X
19, 20.2, 420231, 211981, 45876, 255810, 886852, 606506, 118129, 454000, 80, 93, NA, 2999385,  X
20, 21.2, 6241, 1880232, 1003180, 83628, 128204, 16020, 300658, 329118, 15, 64, NA, 3747281,  X
21, 22.2, 292570, 12566, 8609, 6688, 149896, 521278, 1369497, 190650, 14, 70, NA, 2551754,  X
22, 23.3, 219819, 5657, 107152, 15704, 23849, 18868, 162142, 86886, 39, 95, NA, 640077,  X
23, 24.3, 12186, 33317, 564124, 342240, 1194509, 2659407, 600107, 382852, 47, 40, NA, 5788742,  X
24, 25.3, 14421, 267555, 3378, 447, 307006, 147435, 17355, 117715, 33, 26, NA, 875312,  X
25, 26.3, 422602, 398442, 557220, 37558, 290528, 97637, 1232969, 1055977, 91, 85, NA, 4092933,  X
26, 27.3, 56806, 169, 343966, 279088, 73994, 3877, 20340, 62105, 29, 25, NA, 840345,  X
27, 28.3, 265195, 626277, 6430, 2284, 307124, 17418, 190913, 7424, 19, 76, NA, 1423065,  X
28, 29.3, 12964, 207, 47975, 3475, 6781, 4754, 413076, 286861, 30, 85, NA, 776093,  X
29, 30.3, 19462, 29601, 500967, 4194, 102397, 32815, 7936, 360324, 91, 81, NA, 1057696,  X
30, 31.3, 28731, 530301, 970423, 62595, 146317, 420988, 118924, 106882, 30, 24, NA, 2385161,  X
31, 32.3, 343494, 536242, 19824, 145665, 314201, 302382, 170298, 5176, 57, 26, NA, 1837282,  X
32, 33.3, 45394, 40820, 236108, 599044, 2599, 500119, 50782, 224530, 7, 99, NA, 1699396,  X
33, 34.3, 199332, 767114, 7459, 83293, 355098, 1067, 2423328, 307926, 28, 35, NA, 4144617,  X
34, 35.3, 614006, 587547, 12678, 14338, 1041128, 2546129, 13375, 476969, 84, 36, NA, 5306170,  X
35, 36.4, 68359, 45231, 20238, 248440, 57898, 374653, 563515, 15449, 87, 75, NA, 1393783,  X
36, 37.4, 106693, 583151, 515293, 104803, 107211, 552032, 132778, 637098, 35, 74, NA, 2739059,  X
37, 38.4, 1218265, 153169, 99708, 5867, 114375, 291036, 30244, 23753, 11, 48, NA, 1936417,  X
38, 39.4, 242310, 427478, 404114, 157, 1832697, 1082712, 3297, 3535356, 20, 3, NA, 7528121,  X
39, 40.4, 447010, 813635, 775403, 1081153, 282487, 48823, 218028, 1211337, 61, 78, NA, 4877876,  X
40, 41.4, 260750, 14372, 370343, 342098, 26584, 40110, 72194, 21461, 16, 79, NA, 1147912,  X
41, 42.4, 296156, 559981, 1172127, 533586, 322571, 1069028, 33319, 45743, 91, 31, NA, 4032511,  X
42, 43.4, 111660, 10808, 415569, 171600, 183999, 323766, 18644, 2421767, 61, 22, NA, 3657813,  X
43, 44.4, 280887, 85145, 493224, 1086770, 31258, 39899, 325305, 70609, 26, 23, NA, 2413097,  X
44, 45.4, 59583, 8231, 6377, 331521, 717641, 1340, 13990, 484745, 83, 78, NA, 1623428,  X
45, 46.4, 5, 114603, 302200, 198795, 1418937, 102683, 228860, 139740, 38, 94, NA, 2505823,  X
46, 47.4, 2410, 852281, 490321, 406803, 376863, 873302, 220241, 77839, 11, 76, NA, 3300060,  X
47, 48.5, 151812, 462146, 491598, 212774, 828059, 8049, 108551, 46, 74, 42, NA, 2263035,  X
48, 49.5, 218308, 57989, 2545, 65206, 33891, 267102, 412067, 4648, 39, 79, NA, 1061756,  X
49, 50.5, 79102, 1429798, 78234, 379143, 107872, 282203, 134917, 255941, 29, 79, NA, 2747210,  X
50, 51.5, 35666, 121156, 9089, 72156, 9517, 72843, 150470, 82384, 78, 63, NA, 553281,  X
51, 52.5, 522094, 163299, 240021, 633058, 631221, 2342, 284184, 91031, 50, 44, NA, 2567250,  X
52, 53.5, 419570, 308302, 365353, 268876, 355862, 585780, 374545, 7719, 83, 98, NA, 2686007,  X
53, 54.5, 1664761, 270710, 722498, 484226, 359679, 93177, 349541, 207392, 72, 67, NA, 4151984,  X
54, 55.5, 313781, 30801, 1156297, 2791, 5914, 9594, 449604, 28792, 88, 29, NA, 1997574,  X
55, 56.5, 1795, 97268, 427104, 217440, 40871, 3080, 290154, 9725, 42, 4, NA, 1087437,  X
