obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.1, 239547, 2218, 546302, 151938, 129333, 29425, 25875, 136, 22, 50, NA, 1124774,  X
2, 3.1, 280189, 387100, 55923, 498468, 1065, 86770, 59, 31244, 62, 4, NA, 1340818,  X
3, 4.2, 2117307, 1127533, 38328, 19305, 149964, 73369, 222477, 312127, 14, 72, NA, 4060410,  X
4, 5.2, 1220523, 6704, 1307387, 1, 419383, 16136, 451132, 531463, 99, 52, NA, 3952729,  X
5, 6.2, 103931, 569629, 54744, 33424, 623953, 5877, 541329, 22095, 46, 85, NA, 1954982,  X
6, 7.3, 1111, 16775, 1589, 1257408, 196882, 25689, 315741, 193109, 99, 57, NA, 2008304,  X
7, 8.3, 285762, 218043, 8374, 2396, 389103, 163451, 635717, 10477, 79, 50, NA, 1713323,  X
8, 9.4, 17911, 605466, 216792, 1910, 979081, 57558, 442570, 288125, 75, 7, NA, 2609413,  X
9, 10.4, 382092, 190673, 12810, 713378, 203599, 9, 11495, 294254, 100, 56, NA, 1808310,  X
10, 11.4, 62352, 119822, 735126, 38488, 22591, 1615, 384377, 273811, 94, 1, NA, 1638182,  X
11, 12.5, 95882, 179100, 121702, 1427497, 553000, 4524, 622011, 81964, 79, 32, NA, 3085680,  X
12, 13.5, 475906, 110731, 5613, 624292, 123148, 777062, 193, 1464014, 34, 85, NA, 3580959,  X
13, 14.6, 173457, 54543, 84549, 102998, 1214702, 703887, 45507, 1614256, 47, 9, NA, 3993899,  X
14, 15.6, 225676, 897212, 699346, 555378, 13280, 8628, 3913, 14592, 78, 87, NA, 2418025,  X
15, 16.6, 84295, 168892, 280214, 19046, 106089, 56202, 12075, 61791, 88, 47, NA, 788604,  X
16, 17.7, 20665, 2694, 178146, 309499, 606651, 705673, 52105, 217767, 85, 4, NA, 2093200,  X
17, 18.7, 10466, 321833, 302993, 43381, 368555, 172870, 14558, 31, 72, 74, NA, 1234687,  X
18, 19.8, 80192, 47, 10878, 290551, 98062, 3570, 447729, 1646, 8, 32, NA, 932675,  X
