obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 1942576, 267655, 3486, 401962, 194121, 236245, 316085, 168299, 46, 23, NA, 3530429,  X
2, 3.0, 506342, 77163, 306012, 370071, 234233, 369745, 125594, 322165, 24, 65, NA, 2311325,  X
3, 4.1, 2575, 481207, 1401498, 61510, 9833, 1004681, 1437, 51701, 52, 99, NA, 3014442,  X
4, 5.1, 3946, 242064, 339317, 711309, 851667, 510985, 722102, 840, 82, 62, NA, 3382230,  X
5, 6.1, 11641, 217802, 191425, 253701, 122160, 564, 11356, 3570, 40, 30, NA, 812219,  X
6, 7.1, 1217793, 435694, 219207, 78935, 177351, 67403, 422001, 377778, 41, 100, NA, 2996162,  X
7, 8.1, 536066, 8, 1438813, 484140, 453200, 686247, 619853, 86261, 2, 49, NA, 4304588,  X
8, 9.1, 351035, 34021, 472364, 334401, 716690, 243629, 397462, 125101, 19, 24, NA, 2674703,  X
9, 10.1, 61562, 632551, 493844, 58335, 7452, 27837, 49608, 569670, 47, 100, NA, 1900859,  X
10, 11.1, 129302, 14760, 780218, 239398, 24281, 48629, 243601, 135607, 15, 45, NA, 1615796,  X
11, 12.1, 760964, 14995, 170814, 407364, 93669, 1414258, 96564, 61116, 37, 24, NA, 3019744,  X
12, 13.2, 75042, 288070, 645309, 951203, 466418, 135607, 109221, 116659, 53, 14, NA, 2787529,  X
13, 14.2, 737518, 32114, 143539, 181628, 311534, 2587960, 1828746, 162048, 34, 70, NA, 5985087,  X
14, 15.2, 263358, 1670163, 933562, 803, 67985, 300378, 325308, 1643697, 23, 47, NA, 5205254,  X
15, 16.2, 176521, 40192, 562059, 763742, 115327, 793034, 290653, 1095512, 89, 97, NA, 3837040,  X
16, 17.2, 805668, 61428, 291861, 6197, 16668, 130172, 147879, 140454, 65, 59, NA, 1600327,  X
17, 18.2, 276, 950193, 285095, 30330, 74256, 89231, 197867, 61764, 67, 88, NA, 1689012,  X
18, 19.2, 122977, 29583, 11156, 420955, 34097, 1157, 109511, 94338, 71, 41, NA, 823774,  X
19, 20.2, 124976, 634, 193254, 56310, 512919, 14, 211231, 182839, 43, 27, NA, 1282177,  X
20, 21.2, 38550, 84934, 468327, 482126, 241354, 423662, 25558, 41796, 32, 36, NA, 1806307,  X
21, 22.2, 17489, 14686, 1119106, 468501, 26029, 318191, 114128, 1094445, 15, 75, NA, 3172575,  X
22, 23.2, 81693, 4538, 203030, 87269, 116, 2, 1255198, 602758, 20, 79, NA, 2234604,  X
23, 24.2, 377212, 24812, 29795, 106065, 2113, 346980, 1880717, 93436, 78, 24, NA, 2861130,  X
24, 25.3, 502675, 18153, 56357, 579151, 110177, 2583, 68974, 54608, 37, 82, NA, 1392678,  X
25, 26.3, 955, 9415, 3953, 2273, 52728, 19327, 247178, 201262, 90, 52, NA, 537091,  X
26, 27.3, 85652, 149129, 592552, 6, 129800, 126498, 410864, 4, 24, 81, NA, 1494505,  X
27, 28.3, 253454, 69352, 3008, 466114, 3675, 61560, 225601, 556259, 50, 7, NA, 1639023,  X
